species	strain	total	short	shortIncompl	pathogen	reference
Metschnikowia bicuspidata	var. bicuspidata NRRL YB-4993	29	27	10	crustacean parasite	wikipedia
Candida tropicalis	MYA-3404	16	2	0	human pathogen	NA
Candida parapsilosis	NA	15	10	0	human pathogen	NA
Candida glabrata	CBS 138	13	0	0	human pathogen (major)	NA
Candida albicans	SC5314	12	0	0	human pathogen (major)	NA
Candida haemuloni	NA	12	0	0	human pathogen	NA
Candida pseudohaemulonii	NA	12	0	0	human pathogen	NA
Candida dubliniensis	CD36	11	0	0	human pathogen	NA
Candida duobushaemulonis	NA	11	0	0	human pathogen	NA
Kazachstania africana	CBS 2517	10	4	0	no report	NA
Candida auris	NA	9	0	NA	human pathogen (major)	NA
Clavispora lusitaniae	ATCC 42720	8	2	0	human pathogen	NA
Scheffersomyces stipitis	NRRL Y-7124	7	0	0	no report	NA
Candida castellii	CBS 4332	6	3	NA	no report	NA
Lodderomyces elongisporus	NRRL YB-4239	4	2	0	human pathogen (rare)	PMID: 30245829
Meyerozyma guilliermondii	ATCC 6260	4	1	0	human pathogen	NA
Nakaseomyces delphensis	CBS 2170	4	1	NA	no report	NA
Suhomyces tanzawaensis	NRRL Y-17324	4	3	3	no report	NA
Yamadazyma tenuis	ATCC 10573	4	4	2	no report	NA
Candida orthopsilosis	Co 90-125	3	0	0	human pathogen	NA
Debaryomyces hansenii	CBS767	3	0	0	human pathogen (rare)	PMID: 18701668
Kazachstania naganishii	CBS 8797	3	0	0	no report	NA
Spathaspora passalidarum	NRRL Y-27907	3	1	0	no report	NA
Candida bracarensis	CBS 10154	2	1	NA	human pathogen	NA
Candida nivariensis	CBS 9983	2	1	NA	human pathogen	NA
Cyberlindnera jadinii	NRRL Y-1542	2	1	1	no report	PMID: 30323936
Naumovozyma dairenensis	CBS 421	2	1	0	no report	NA
Debaryomyces fabryi	NA	1	1	1	no report	NA
Kluyveromyces lactis	NA	1	0	0	no report	NA
Lachancea kluyveri	CBS 3082	1	0	NA	no report	NA
Nakaseomyces bacillisporus	CBS 7720	1	0	NA	no report	NA
Naumovozyma castellii	CBS 4309	1	0	0	no report	NA
