ID	original_genome_id	old_speceis_names	speceis_names_fig2	hex	id_table S1	Species name	Major clade	clade_order	Family	Genus	CUG usage
1	saprochaete_clavata	Saprochaete_clavata	Saprochaete_clavata	#FF2800	22	Saprochaete clavata	Dipodascaceae/Trichomonascaceae	3	Dipodascaceae	Saprochaete	Leu
2	yHMPu5000034974_deakozyma_indianensis_160519	yHMPu5000034974_Deakozyma_indianensis	Deakozyma_indianensis	#FF2800	39	Deakozyma indianensis	Dipodascaceae/Trichomonascaceae	3	Saccharomycetales incertae sedis	Deakozyma	Leu
3	clavispora_lusitaniae	Clavispora_lusitaniae	Clavispora_lusitaniae	#FFd200	135	Clavispora lusitaniae	CUG-Ser1	8	Metschnikowiaceae	Clavispora	Ser
4	yHMPu5000034999_cephaloascus_fragrans_160519	yHMPu5000034999_Cephaloascus_fragrans	Cephaloascus_fragrans	#FFd200	204	Cephaloascus fragrans	CUG-Ser1	8	Cephaloascaceae	Cephaloascus	Ser
5	yHMPu5000034998_cephaloascus_albidus_160519	yHMPu5000034998_Cephaloascus_albidus	Cephaloascus_albidus	#FFd200	205	Cephaloascus albidus	CUG-Ser1	8	Cephaloascaceae	Cephaloascus	Ser
6	babjeviella_inositovora	Babjeviella_inositovora	Babjeviella_inositovora	#FFd200	122	Babjeviella inositovora	CUG-Ser1	8	Debaryomycetaceae	Babjeviella	Ser
7	candida_dubliniensis	Candida_dubliniensis	Candida_dubliniensis	#FFd200	126	Candida dubliniensis	CUG-Ser1	8	Debaryomycetaceae	Candida	Ser
8	candida_albicans	Candida_albicans	Candida_albicans	#FFd200	123	Candida albicans	CUG-Ser1	8	Debaryomycetaceae	Candida	Ser
9	candida_parapsilosis	Candida_parapsilosis	Candida_parapsilosis	#FFd200	130	Candida parapsilosis	CUG-Ser1	8	Debaryomycetaceae	Candida	Ser
10	candida_homilentoma	Candida_homilentoma	Hyphopichia_homilentoma	#FFd200	127	Hyphopichia homilentoma	CUG-Ser1	8	Debaryomycetaceae	Hyphopichia	Ser
11	candida_tropicalis	Candida_tropicalis	Candida_tropicalis	#FFd200	134	Candida tropicalis	CUG-Ser1	8	Debaryomycetaceae	Candida	Ser
12	candida_orthopsilosis	Candida_orthopsilosis	Candida_orthopsilosis	#FFd200	129	Candida orthopsilosis	CUG-Ser1	8	Debaryomycetaceae	Candida	Ser
13	candida_carpophila	Candida_carpophila	Candida_carpophila	#FFd200	125	Candida carpophila	CUG-Ser1	8	Debaryomycetaceae	Candida	Ser
14	candida_tanzawaensis	Candida_tanzawaensis	Suhomyces_tanzawaensis	#FFd200	132	Suhomyces tanzawaensis	CUG-Ser1	8	Debaryomycetaceae	Suhomyces	Ser
15	candida_tenuis	Candida_tenuis	Yamadazyma_tenuis	#FFd200	133	Yamadazyma tenuis	CUG-Ser1	8	Debaryomycetaceae	Yamadazyma	Ser
16	yHMPu5000034632_candida_athensensis_160519	yHMPu5000034632_Candida_athensensis	Candida_athensensis	#FFd200	214	Candida athensensis	CUG-Ser1	8	Debaryomycetaceae	Candida	Ser
17	yHMPu5000035679_candida_rhagii_160613	yHMPu5000035679_Candida_rhagii	Candida_rhagii	#FFd200	186	Candida rhagii	CUG-Ser1	8	Debaryomycetaceae	Candida	Ser
18	yHMPu5000035681_candida_gotoi_160519	yHMPu5000035681_Candida_gotoi	Candida_gotoi	#FFd200	185	Candida gotoi	CUG-Ser1	8	Debaryomycetaceae	Candida	Ser
