label	duplications	losses
Cparapsilosis	1	0
NbNdNn	0	0
DH	0	0
Klactis	0	0
SS	0	0
WGD	0	0
Clavispora	0	0
CpCd	2	0
Ctropicalis	10	1
NdNn	0	0
Nbracarensis	0	1
Ncastellii	0	0
Cglabrata	0	0
Cpseudohaemulonis	0	1
Ndelphensis	0	1
Cduobushaemulonis	0	2
MDR	6	1
Lelongisporus	0	2
Clusitaniae	4	1
CUG-Ser1	1	0
CtCdCa	2	0
Calbicans	1	0
Candida	1	0
Sstipitis	2	0
Cauris	1	0
CdCa	6	0
Chaemuloni	2	1
Dhansenii	1	0
Cdubliniensis	1	1
Saccharomycetales	0	0
CL	0	0
Saccharomycetaceae	0	0
haemuloni	4	0
Nakaseomyces	1	0
Nnivariensis	0	1
