SPECIES: FAMILY_COVERAGE
Candida_albicans: 1
Candida_auris: 1
Candida_bracarensis: 1
Candida_castellii: 1
Candida_dubliniensis: 1
Candida_duobushaemulonis: 1
Candida_glabrata: 1
Candida_haemuloni: 1
Candida_nivariensis: 1
Candida_orthopsilosis: 1
Candida_parapsilosis: 1
Candida_pseudohaemulonii: 1
Candida_tanzawaensis: 1
Candida_tenuis: 1
Candida_tropicalis: 1
Clavispora_lusitaniae: 1
Cyberlindnera_jadinii: 1
Debaryomyces_fabryi: 1
Debaryomyces_hansenii: 1
Kazachstania_africana: 1
Kazachstania_naganishii: 1
Kluyveromyces_lactis: 1
Lachancea_kluyveri: 1
Lodderomyces_elongisporus: 1
Metschnikowia_bicuspidata: 1
Meyerozyma_guilliermondii: 1
Nakaseomyces_bacillisporus: 1
Nakaseomyces_delphensis: 1
Naumovozyma_castellii: 1
Naumovozyma_dairenensis: 1
Scheffersomyces_stipitis: 1
Spathaspora_passalidarum: 1
