species	sp-gpi-	sp-GPI+	SP+gpi-	SP+GPI+	total
Candida glabrata	0	1	0	12	13
Candida tropicalis	1	1	3	7	12
Candida haemuloni	0	3	0	9	12
Candida duobushaemulonis	0	1	0	10	11
Candida pseudohaemulonii	0	4	0	7	11
Candida albicans	0	0	1	10	11
Candida dubliniensis	0	0	0	10	10
Candida auris	0	1	0	7	8
Scheffersomyces stipitis	0	1	2	4	7
Kazachstania africana	1	1	0	3	5
Candida parapsilosis	0	0	1	4	5
Clavispora lusitaniae	0	0	0	4	4
Kazachstania naganishii	0	1	0	2	3
Candida orthopsilosis	0	0	0	3	3
Debaryomyces hansenii	0	0	0	3	3
Meyerozyma guilliermondii	0	0	0	3	3
Nakaseomyces delphensis	0	0	0	3	3
Candida castellii	0	0	1	1	2
Lodderomyces elongisporus	0	0	1	1	2
Nakaseomyces bacillisporus	1	0	0	0	1
Candida bracarensis	0	0	0	1	1
Candida nivariensis	0	0	0	1	1
Cyberlindnera jadinii	0	0	0	1	1
Kluyveromyces lactis	0	0	0	1	1
Lachancea kluyveri	0	0	0	1	1
Metschnikowia bicuspidata	0	0	0	1	1
Naumovozyma castellii	0	0	0	1	1
Naumovozyma dairenensis	0	0	0	1	1
Suhomyces tanzawaensis	0	0	0	1	1
