feature	start	end
entire protein	1	3052
SignalP	1	31
Hyphal_reg_CWP	12	327
Hyr1	522	549
Hyr1	597	637
Hyr1	641	681
Hyr1	729	769
Hyr1	773	813
Hyr1	817	857
Hyr1	905	945
Hyr1	949	989
Hyr1	993	1033
Hyr1	1037	1077
Hyr1	1081	1121
Hyr1	1125	1165
Hyr1	1169	1209
Hyr1	1213	1253
Hyr1	1301	1341
Hyr1	1345	1385
Hyr1	1389	1429
Hyr1	1478	1517
Hyr1	1521	1561
Hyr1	1565	1605
Hyr1	1609	1649
Hyr1	1653	1693
Hyr1	1697	1737
Hyr1	1741	1781
Hyr1	1785	1825
Hyr1	1829	1869
Hyr1	1873	1913
Hyr1	1917	1973
Hyr1	1977	2017
Hyr1	2197	2240
Hyr1	2335	2378
Hyr1	2382	2422
Hyr1	2428	2469
Hyr1	2704	2745
GPI	3027	3052
