# BLASTP 2.10.1+
# Query: XP_028889033.1_full
# Database: ./blastdb/Cand_auris_five_strains
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 39 hits found
qseqid	sseqid	pident	aln_len	mismatch	gap	qstart	qend	sstart	send	evalue	bitscore
XP_028889033.1_full	XP_028889033.1	100.000	3052	0	0	1	3052	1	3052	0.0	5605
XP_028889033.1_full	PSK76857.1	95.839	3052	85	1	1	3052	1	3010	0.0	5337
XP_028889033.1_full	PIS50296.1	83.811	2440	307	3	701	3052	507	2946	0.0	2957
XP_028889033.1_full	KND98977.2	97.107	1348	39	0	1705	3052	1	1348	0.0	2409
XP_028889033.1_full	PIS49865.1	71.910	1157	269	11	1551	2678	511	1640	0.0	1021
XP_028889033.1_full	XP_028888611.1	66.579	1137	277	11	1551	2595	511	1636	0.0	899
XP_028889033.1_full	KND96933.2	71.214	997	231	11	1711	2678	1	970	0.0	874
XP_028889033.1_full	PSK74847.1	73.724	921	206	11	1595	2502	511	1408	0.0	849
XP_028889033.1_full	PIS58185.1	44.630	2160	1022	90	542	2687	275	2274	0.0	766
XP_028889033.1_full	PSK79346.1	64.350	331	115	2	1	330	1	329	5.13e-141	476
XP_028889033.1_full	PIS52481.1	64.350	331	115	2	1	330	1	329	5.52e-141	476
XP_028889033.1_full	PSK79348.1	66.881	311	103	0	13	323	11	321	6.39e-132	433
XP_028889033.1_full	PIS52483.1	66.881	311	103	0	13	323	11	321	1.11e-131	434
XP_028889033.1_full	XP_028887965.1	66.881	311	103	0	13	323	11	321	1.84e-131	434
XP_028889033.1_full	PSK76858.1	64.762	315	111	0	10	324	10	324	5.62e-126	414
XP_028889033.1_full	PIS50297.1	64.762	315	111	0	10	324	10	324	8.72e-126	413
XP_028889033.1_full	QEO24213.1	64.762	315	111	0	10	324	10	324	9.25e-126	413
XP_028889033.1_full	KND98979.2	64.762	315	111	0	10	324	10	324	9.42e-126	413
XP_028889033.1_full	XP_028889034.1	64.762	315	111	0	10	324	10	324	1.12e-125	412
XP_028889033.1_full	PIS55432.1	51.312	1029	340	24	1669	2589	335	1310	3.60e-124	429
XP_028889033.1_full	KND99597.2	51.312	1029	340	24	1669	2589	335	1310	3.60e-124	429
XP_028889033.1_full	XP_028892406.1	51.312	1029	340	24	1669	2589	335	1310	4.18e-124	429
XP_028889033.1_full	PSK76051.1	61.342	313	119	2	12	323	8	319	9.39e-124	422
XP_028889033.1_full	XP_028893057.1	46.220	582	287	23	1287	1868	272	827	1.02e-70	263
XP_028889033.1_full	PSK75908.1	43.119	327	175	4	10	325	6	332	1.66e-67	247
XP_028889033.1_full	XP_028892087.1	43.119	327	175	4	10	325	6	332	2.09e-67	246
XP_028889033.1_full	QEO22143.1	43.119	327	175	4	10	325	6	332	2.39e-67	246
XP_028889033.1_full	PIS56617.1	43.119	327	175	4	10	325	6	332	3.05e-67	246
XP_028889033.1_full	KND98529.2	38.658	313	190	2	16	328	18	328	1.19e-63	233
XP_028889033.1_full	QEO24533.1	38.658	313	190	2	16	328	18	328	1.38e-63	233
XP_028889033.1_full	PSK79720.1	38.658	313	190	2	16	328	18	328	1.53e-63	232
XP_028889033.1_full	PIS50623.1	38.658	313	190	2	16	328	18	328	1.71e-63	232
XP_028889033.1_full	XP_028889361.1	38.339	313	191	2	16	328	18	328	3.79e-63	231
XP_028889033.1_full	XP_028891378.1	49.750	400	174	9	1551	1929	13	406	6.73e-53	194
XP_028889033.1_full	PSK75098.1	48.317	416	197	15	671	1086	2	399	9.96e-50	191
XP_028889033.1_full	QEO22553.1	46.114	386	187	14	1023	1406	272	638	7.72e-42	169
XP_028889033.1_full	PSK76856.1	34.579	107	59	3	2835	2938	65	163	3.57e-05	48.1
XP_028889033.1_full	PIS50294.1	28.571	70	39	3	2872	2938	1	62	6.7	31.2
XP_028889033.1_full	KND98965.2	28.571	70	39	3	2872	2938	1	62	6.7	31.2
# BLASTP 2.10.1+
# Query: XP_028889033.1_PF11765
# Database: ./blastdb/Cand_auris_five_strains
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 34 hits found
XP_028889033.1_PF11765	XP_028889033.1	100.000	325	0	0	1	325	1	325	0.0	676
XP_028889033.1_PF11765	PIS50296.1	99.692	325	1	0	1	325	1	325	0.0	674
XP_028889033.1_PF11765	PSK76857.1	99.385	325	2	0	1	325	1	325	0.0	671
XP_028889033.1_PF11765	XP_028888611.1	82.500	320	56	0	6	325	6	325	0.0	548
XP_028889033.1_PF11765	PSK74847.1	83.125	320	54	0	6	325	6	325	0.0	548
XP_028889033.1_PF11765	PIS49865.1	82.500	320	56	0	6	325	6	325	0.0	548
XP_028889033.1_PF11765	PSK79346.1	64.724	326	112	2	1	325	1	324	8.24e-145	439
XP_028889033.1_PF11765	PIS52481.1	64.724	326	112	2	1	325	1	324	9.35e-145	439
XP_028889033.1_PF11765	PSK79348.1	66.881	311	103	0	13	323	11	321	1.35e-142	419
XP_028889033.1_PF11765	PIS52483.1	66.881	311	103	0	13	323	11	321	3.77e-142	419
XP_028889033.1_PF11765	XP_028887965.1	66.881	311	103	0	13	323	11	321	6.07e-142	419
XP_028889033.1_PF11765	PSK76858.1	64.762	315	111	0	10	324	10	324	1.10e-134	397
XP_028889033.1_PF11765	PIS50297.1	64.762	315	111	0	10	324	10	324	1.44e-134	397
XP_028889033.1_PF11765	KND98979.2	64.762	315	111	0	10	324	10	324	1.61e-134	397
XP_028889033.1_PF11765	XP_028889034.1	64.762	315	111	0	10	324	10	324	1.99e-134	396
XP_028889033.1_PF11765	QEO24213.1	64.762	315	111	0	10	324	10	324	2.12e-134	396
XP_028889033.1_PF11765	PSK76051.1	61.342	313	119	2	12	323	8	319	6.53e-128	392
XP_028889033.1_PF11765	PIS55432.1	61.342	313	119	2	12	323	8	319	3.50e-127	394
XP_028889033.1_PF11765	KND99597.2	61.342	313	119	2	12	323	8	319	3.50e-127	394
XP_028889033.1_PF11765	XP_028892406.1	61.022	313	120	2	12	323	8	319	2.39e-126	392
XP_028889033.1_PF11765	QEO22143.1	43.119	327	175	4	10	325	6	332	6.93e-73	240
XP_028889033.1_PF11765	PSK75908.1	43.119	327	175	4	10	325	6	332	1.03e-72	240
XP_028889033.1_PF11765	XP_028892087.1	43.119	327	175	4	10	325	6	332	2.95e-72	238
XP_028889033.1_PF11765	PIS56617.1	43.119	327	175	4	10	325	6	332	4.06e-72	238
XP_028889033.1_PF11765	QEO24533.1	38.710	310	188	2	16	325	18	325	1.11e-67	224
XP_028889033.1_PF11765	KND98529.2	38.710	310	188	2	16	325	18	325	1.14e-67	224
XP_028889033.1_PF11765	PSK79720.1	38.710	310	188	2	16	325	18	325	1.19e-67	224
XP_028889033.1_PF11765	PIS50623.1	38.710	310	188	2	16	325	18	325	1.36e-67	224
XP_028889033.1_PF11765	XP_028889361.1	38.387	310	189	2	16	325	18	325	3.45e-67	223
XP_028889033.1_PF11765	QEO23324.1	31.373	51	35	0	203	253	129	179	4.4	29.3
XP_028889033.1_PF11765	PSK76691.1	31.373	51	35	0	203	253	142	192	4.5	29.3
XP_028889033.1_PF11765	XP_028891432.1	31.373	51	35	0	203	253	142	192	4.5	29.3
XP_028889033.1_PF11765	PIS54516.1	31.373	51	35	0	203	253	142	192	4.5	29.3
XP_028889033.1_PF11765	KND97441.2	31.373	51	35	0	203	253	142	192	4.5	29.3
# BLAST processed 2 queries
