organism	strain	gene_id	refseq_id	e_value
C_auris	B8441	B9J08_000675	XP_028893057.1	0
C_auris	B8441	B9J08_004109	XP_028889033.1	0
C_auris	B8441	B9J08_004892	XP_028888611.1	0
C_duobushaemulonis	B09383	CXQ87_001664	XP_025334498.1	0
C_duobushaemulonis	B09383	CXQ87_005018	XP_025335682.1	0
C_haemulonis	B11899	CXQ85_003757	XP_025344407.1	0
C_haemulonis	B11899	CXQ85_003766	XP_025344416.1	0
C_haemulonis	B11899	CXQ85_004928	XP_025343300.1	0
C_haemulonis	B11899	CXQ85_005263	XP_025343629.1	0
C_duobushaemulonis	B09383	CXQ87_004674	XP_025338053.1	2e-178
C_lusitaniae	ATCC_42720	CLUG_05599	XP_002614821.1	4e-167
C_haemulonis	B11899	CXQ85_004549	XP_025341971.1	8e-149
C_haemulonis	B11899	CXQ85_003952	XP_025344601.1	4e-140
C_auris	B8441	B9J08_004098	NA	1e-139
C_haemulonis	B11899	CXQ85_004563	XP_025342839.1	2e-139
C_duobushaemulonis	B09383	CXQ87_005009	XP_025337653.1	1e-137
C_duobushaemulonis	B09383	CXQ87_001666	XP_025334500.1	9e-136
C_auris	B8441	B9J08_004100	XP_028887965.1	4e-130
C_lusitaniae	ATCC_42720	CLUG_05603	XP_002614117.1	8e-130
C_duobushaemulonis	B09383	CXQ87_005004	XP_025337648.1	2e-129
C_duobushaemulonis	B09383	CXQ87_005334	XP_025335995.1	8e-128
C_duobushaemulonis	B09383	CXQ87_005017	XP_025335681.1	3e-125
C_auris	B8441	B9J08_004110	XP_028889034.1	4e-124
C_lusitaniae	ATCC_42720	CLUG_05233	XP_002615218.1	1e-123
C_auris	B8441	B9J08_001531	XP_028892406.1	6e-123
C_duobushaemulonis	B09383	CXQ87_001536	XP_025339545.1	9e-111
C_haemulonis	B11899	CXQ85_005377	XP_025343289.1	3e-105
C_haemulonis	B11899	CXQ85_004198	XP_025341634.1	7e-71
C_duobushaemulonis	B09383	CXQ87_003607	XP_025336698.1	2e-69
C_lusitaniae	ATCC_42720	CLUG_05596	XP_002614818.1	3e-67
C_haemulonis	B11899	CXQ85_002807	XP_025344020.1	2e-66
C_auris	B8441	B9J08_001155	XP_028892087.1	3e-66
C_parapsilosis	CDC317	CPAR2_806410	XP_003868553.1	1e-64
C_duobushaemulonis	B09383	CXQ87_001485	NA	4e-64
C_auris	B8441	B9J08_004451	XP_028889361.1	3e-62
C_tropicalis	MYA-3404	CTRG_02071	XP_002547764.1	3e-60
C_haemulonis	B11899	CXQ85_003762	XP_025344412.1	7e-59
C_haemulonis	B11899	CXQ85_003765	XP_025344415.1	3e-56
C_duobushaemulonis	B09383	CXQ87_003243	XP_025336343.1	9e-55
C_parapsilosis	CDC317	CPAR2_806390	NA	1e-47
C_albicans	SC5314	C7_03290C_A	XP_711686.2	1e-43
C_albicans	WO-1	CAWG_05662	XP_711686.2	6e-43
C_albicans	SC5314	C5_00730W_A	XP_714203.1	2e-42
C_albicans	SC5314_B	C5_00730W_B	XP_714203.1	2e-42
C_albicans	SC5314_B	C7_03290C_B	XP_711686.2	9e-42
C_albicans	WO-1	CAWG_01420	XP_718630.1	2e-40
C_albicans	SC5314	CR_00610W_A	XP_718630.1	4e-40
C_albicans	SC5314_B	CR_00610W_B	XP_718630.1	4e-40
C_tropicalis	MYA-3404	CTRG_01923	XP_002547616.1	5e-39
C_tropicalis	MYA-3404	CTRG_01922	XP_002547615.1	9e-39
