Accession,Organism,Query,Rank Per Query,Rank Per Subject,Align Length,E-Value,Score,Identity,Query Coverage
PIS50647.1,Candida auris strain B11221,Caur_Hil1,1,1,316,0,615.535,1,1
C1_13450W_A-T-p1,Candida albicans SC5314,Calb_Hyr1,1,1,324,0,644.04,1,1
CAGL0E06600g-T-p1,Candida glabrata CBS 138,Cgla_Hyr1,1,1,328,0,658.292,1,1
B9J08_004109-t37_1-p1,Candida auris strain B8441,Caur_Hil1,2,1,316,0,614.764,0.9968354430379747,1
CAX41550.1,Candida dubliniensis CD36,Calb_Hyr1,2,1,327,4.79999e-108,340.502,0.5382262996941896,0.9907407407407407
QNG13321.1,Candida glabrata BG2,Cgla_Hyr1,2,1,328,0,650.973,0.9939024390243902,1
PSK76857.1,Candida auris strain B11243,Caur_Hil1,3,1,316,0,613.224,0.9936708860759493,1
C5_00730W_A-T-p1,Candida albicans SC5314,Calb_Hyr1,3,1,332,1.58654e-87,290.041,0.48493975903614456,1
QNG14727.1,Candida glabrata BG2,Cgla_Hyr1,3,1,325,1.00672e-94,312.768,0.5261538461538462,0.9908536585365854
QEL63125.1,Candida auris strain B11245,Caur_Hil1,4,1,316,0,583.563,0.9936708860759493,1
CTRG_02071-t43_1-p1,Candida tropicalis MYA-3404,Calb_Hyr1,4,1,328,4.53443e-86,286.96,0.4573170731707317,0.9938271604938271
CAGL0I07293g-T-p1,Candida glabrata CBS 138,Cgla_Hyr1,4,1,325,1.79551e-94,311.997,0.5230769230769231,0.9908536585365854
QEL62736.1,Candida auris strain B11245,Caur_Hil1,5,1,315,1.64433e-171,518.079,0.8412698412698413,0.9968354430379747
CTMYA2_011360.t1-p1,Candida tropicalis MYA-3404 2020,Calb_Hyr1,5,1,328,4.95429e-86,286.96,0.4573170731707317,0.9938271604938271
EDK37116.2,Meyerozyma guilliermondii ATCC 6260,Cgla_Hyr1,5,3,326,7.90148e-27,113.62,0.3128834355828221,0.9664634146341463
PSK74847.1,Candida auris strain B11243,Caur_Hil1,6,1,315,1.64433e-171,518.079,0.8412698412698413,0.9968354430379747
CTRG_05198-t43_1-p1,Candida tropicalis MYA-3404,Calb_Hyr1,6,1,330,1.68085e-84,272.322,0.4393939393939394,0.9938271604938271
EDK41808.2,Meyerozyma guilliermondii ATCC 6260,Cgla_Hyr1,6,3,328,7.97281e-24,107.457,0.3018292682926829,0.9725609756097561
