# 2020-07-26 21:12 HB
name	id	species	length
XP_028889033.1_Cauris	XP_028889033.1	Cauris	3052
XP_028888611.1_Cauris	XP_028888611.1	Cauris	1704
XP_025344416.1_Chaemuloni	XP_025344416.1	Chaemuloni	2672
XP_024713121.1_Cpseudohaemulonis	XP_024713121.1	Cpseudohaemulonis	3335
XP_025334498.1_Cduobushaemulonis	XP_025334498.1	Cduobushaemulonis	3113
XP_025344407.1_Chaemuloni	XP_025344407.1	Chaemuloni	4416
XP_025335682.1_Cduobushaemulonis	XP_025335682.1	Cduobushaemulonis	1873
XP_025344601.1_Chaemuloni	XP_025344601.1	Chaemuloni	1320
XP_025342839.1_Chaemuloni	XP_025342839.1	Chaemuloni	1221
XP_024713119.1_Cpseudohaemulonis	XP_024713119.1	Cpseudohaemulonis	765
XP_025337653.1_Cduobushaemulonis	XP_025337653.1	Cduobushaemulonis	637
XP_025341971.1_Chaemuloni	XP_025341971.1	Chaemuloni	729
XP_025334500.1_Cduobushaemulonis	XP_025334500.1	Cduobushaemulonis	973
XP_025343300.1_Chaemuloni	XP_025343300.1	Chaemuloni	2259
XP_028889034.1_Cauris	XP_028889034.1	Cauris	662
XP_028887965.1_Cauris	XP_028887965.1	Cauris	787
XP_024712323.1_Cpseudohaemulonis	XP_024712323.1	Cpseudohaemulonis	596
XP_024711259.1_Cpseudohaemulonis	XP_024711259.1	Cpseudohaemulonis	703
XP_025335995.1_Cduobushaemulonis	XP_025335995.1	Cduobushaemulonis	727
XP_024711351.1_Cpseudohaemulonis	XP_024711351.1	Cpseudohaemulonis	1534
XP_025338053.1_Cduobushaemulonis	XP_025338053.1	Cduobushaemulonis	1785
XP_028892406.1_Cauris	XP_028892406.1	Cauris	1375
XP_025337648.1_Cduobushaemulonis	XP_025337648.1	Cduobushaemulonis	1427
XP_024712318.1_Cpseudohaemulonis	XP_024712318.1	Cpseudohaemulonis	3575
XP_025343289.1_Chaemuloni	XP_025343289.1	Chaemuloni	1165
XP_024716363.1_Cpseudohaemulonis	XP_024716363.1	Cpseudohaemulonis	1131
XP_024711350.1_Cpseudohaemulonis	XP_024711350.1	Cpseudohaemulonis	804
XP_025341988.1_Chaemuloni	XP_025341988.1	Chaemuloni	962
XP_462630.1_Dhansenii	XP_462630.1	Dhansenii	775
XP_025336698.1_Cduobushaemulonis	XP_025336698.1	Cduobushaemulonis	932
XP_002770057.1_Dhansenii	XP_002770057.1	Dhansenii	1597
XP_025341634.1_Chaemuloni	XP_025341634.1	Chaemuloni	817
XP_028892087.1_Cauris	XP_028892087.1	Cauris	833
XP_025335681.1_Cduobushaemulonis	XP_025335681.1	Cduobushaemulonis	1353
XP_024711300.1_Cpseudohaemulonis	XP_024711300.1	Cpseudohaemulonis	899
XP_025344020.1_Chaemuloni	XP_025344020.1	Chaemuloni	745
XP_028889361.1_Cauris	XP_028889361.1	Cauris	717
XP_025344415.1_Chaemuloni	XP_025344415.1	Chaemuloni	1650
XP_024713725.1_Cpseudohaemulonis	XP_024713725.1	Cpseudohaemulonis	856
XP_025339494.1_Cduobushaemulonis	XP_025339494.1	Cduobushaemulonis	884
XP_025336343.1_Cduobushaemulonis	XP_025336343.1	Cduobushaemulonis	694
XP_024713752.1_Cpseudohaemulonis	XP_024713752.1	Cpseudohaemulonis	788
XP_025344412.1_Chaemuloni	XP_025344412.1	Chaemuloni	2109
XP_001386379.2_Sstipitis	XP_001386379.2	Sstipitis	501
XP_002550900.1_Ctropicalis	XP_002550900.1	Ctropicalis	665
XP_002547764.1_Ctropicalis	XP_002547764.1	Ctropicalis	1405
XP_714203.1_Calbicans	XP_714203.1	Calbicans	1249
XP_711686.2_Calbicans	XP_711686.2	Calbicans	1562
XP_001385882.2_Sstipitis	XP_001385882.2	Sstipitis	580
XP_002547617.1_Ctropicalis	XP_002547617.1	Ctropicalis	827
XP_002547615.1_Ctropicalis	XP_002547615.1	Ctropicalis	749
XP_718630.1_Calbicans	XP_718630.1	Calbicans	1526
XP_717330.2_Calbicans	XP_717330.2	Calbicans	941
XP_001386404.2_Sstipitis	XP_001386404.2	Sstipitis	555
XP_714246.2_Calbicans	XP_714246.2	Calbicans	1085
XP_002418802.1_Cdubliniensis	XP_002418802.1	Cdubliniensis	1277
XP_002421924.1_Cdubliniensis	XP_002421924.1	Cdubliniensis	945
XP_002421951.1_Cdubliniensis	XP_002421951.1	Cdubliniensis	943
XP_002421505.1_Cdubliniensis	XP_002421505.1	Cdubliniensis	2113
XP_002420471.1_Cdubliniensis	XP_002420471.1	Cdubliniensis	940
XP_002549927.1_Ctropicalis	XP_002549927.1	Ctropicalis	925
XP_002421668.1_Cdubliniensis	XP_002421668.1	Cdubliniensis	1433
XP_715137.2_Calbicans	XP_715137.2	Calbicans	941
XP_002421681.1_Cdubliniensis	XP_002421681.1	Cdubliniensis	1227
XP_002420246.1_Cdubliniensis	XP_002420246.1	Cdubliniensis	1279
XP_715535.1_Calbicans	XP_715535.1	Calbicans	1308
XP_002546360.1_Ctropicalis	XP_002546360.1	Ctropicalis	1952
XP_717969.1_Calbicans	XP_717969.1	Calbicans	1225
XP_714201.2_Calbicans	XP_714201.2	Calbicans	714
XP_002420375.1_Cdubliniensis	XP_002420375.1	Cdubliniensis	649
