# Assembly name:  AGH_PRJEB150_V1
# Organism name:  Nakaseomyces delphensis CBS 2170 (budding yeasts)
# Infraspecific name:  strain=CBS 2170
# Taxid:          1279113
# BioSample:      SAMEA3146334
# BioProject:     PRJEB150
# Submitter:      LabRI
# Date:           2013-08-29
# Assembly type:  haploid
# Release type:   major
# Assembly level: Contig
# Genome representation: full
# WGS project:    CAPT01
# Genome coverage: 100x
# Relation to type material: assembly from type material
# RefSeq category: Representative Genome
# GenBank assembly accession: GCA_001039675.1
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_001039685.1		Primary Assembly
#
# Ordered by chromosome/plasmid; the chromosomes/plasmids are followed by
# unlocalized scaffolds.
# Unplaced scaffolds are listed at the end.
# RefSeq is equal or derived from GenBank object.
#
# Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit	Sequence-Length	UCSC-style-name
CAPT01000001	unplaced-scaffold	na	na	CAPT01000001.1	<>	na	Primary Assembly	2859	na
CAPT01000002	unplaced-scaffold	na	na	CAPT01000002.1	<>	na	Primary Assembly	2008	na
CAPT01000003	unplaced-scaffold	na	na	CAPT01000003.1	<>	na	Primary Assembly	1818	na
CAPT01000004	unplaced-scaffold	na	na	CAPT01000004.1	<>	na	Primary Assembly	386659	na
CAPT01000005	unplaced-scaffold	na	na	CAPT01000005.1	<>	na	Primary Assembly	41013	na
CAPT01000006	unplaced-scaffold	na	na	CAPT01000006.1	<>	na	Primary Assembly	147840	na
CAPT01000007	unplaced-scaffold	na	na	CAPT01000007.1	<>	na	Primary Assembly	10493	na
CAPT01000008	unplaced-scaffold	na	na	CAPT01000008.1	<>	na	Primary Assembly	387870	na
CAPT01000009	unplaced-scaffold	na	na	CAPT01000009.1	<>	na	Primary Assembly	4658	na
CAPT01000010	unplaced-scaffold	na	na	CAPT01000010.1	<>	na	Primary Assembly	8493	na
CAPT01000011	unplaced-scaffold	na	na	CAPT01000011.1	<>	na	Primary Assembly	6751	na
CAPT01000012	unplaced-scaffold	na	na	CAPT01000012.1	<>	na	Primary Assembly	48999	na
CAPT01000013	unplaced-scaffold	na	na	CAPT01000013.1	<>	na	Primary Assembly	32594	na
CAPT01000014	unplaced-scaffold	na	na	CAPT01000014.1	<>	na	Primary Assembly	95057	na
CAPT01000015	unplaced-scaffold	na	na	CAPT01000015.1	<>	na	Primary Assembly	135277	na
CAPT01000016	unplaced-scaffold	na	na	CAPT01000016.1	<>	na	Primary Assembly	60870	na
CAPT01000017	unplaced-scaffold	na	na	CAPT01000017.1	<>	na	Primary Assembly	36615	na
CAPT01000018	unplaced-scaffold	na	na	CAPT01000018.1	<>	na	Primary Assembly	8815	na
CAPT01000019	unplaced-scaffold	na	na	CAPT01000019.1	<>	na	Primary Assembly	25015	na
CAPT01000020	unplaced-scaffold	na	na	CAPT01000020.1	<>	na	Primary Assembly	78635	na
CAPT01000021	unplaced-scaffold	na	na	CAPT01000021.1	<>	na	Primary Assembly	7198	na
CAPT01000022	unplaced-scaffold	na	na	CAPT01000022.1	<>	na	Primary Assembly	41188	na
CAPT01000023	unplaced-scaffold	na	na	CAPT01000023.1	<>	na	Primary Assembly	14983	na
CAPT01000024	unplaced-scaffold	na	na	CAPT01000024.1	<>	na	Primary Assembly	3477	na
CAPT01000025	unplaced-scaffold	na	na	CAPT01000025.1	<>	na	Primary Assembly	2444	na
CAPT01000026	unplaced-scaffold	na	na	CAPT01000026.1	<>	na	Primary Assembly	2113	na
CAPT01000027	unplaced-scaffold	na	na	CAPT01000027.1	<>	na	Primary Assembly	1534	na
CAPT01000028	unplaced-scaffold	na	na	CAPT01000028.1	<>	na	Primary Assembly	2938	na
CAPT01000029	unplaced-scaffold	na	na	CAPT01000029.1	<>	na	Primary Assembly	53908	na
CAPT01000030	unplaced-scaffold	na	na	CAPT01000030.1	<>	na	Primary Assembly	203761	na
CAPT01000031	unplaced-scaffold	na	na	CAPT01000031.1	<>	na	Primary Assembly	2906	na
CAPT01000032	unplaced-scaffold	na	na	CAPT01000032.1	<>	na	Primary Assembly	99943	na
CAPT01000033	unplaced-scaffold	na	na	CAPT01000033.1	<>	na	Primary Assembly	39775	na
