#Batch CD-search tool	NIH/NLM/NCBI
#cdsid	QM3-qcdsearch-1FC416A74EC540DB-3A1029092067A0AC
#datatype	hitsConcise Results
#status	0
#Start time	2022-05-10T01:39:07	Run time	0:00:03:39
#status	success

Query	Hit type	PSSM-ID	From	To	E-Value	Bitscore	Accession	Short name	Incomplete	Superfamily
Q#1 - >XP_028889033.1 uncharacterized protein CJI97_004172 [[Candida] auris]	specific	403079	14	316	5.30625e-63	219.023	pfam11765	Hyphal_reg_CWP	 - 	cl13246
Q#2 - >XP_028888611.1 uncharacterized protein CJI97_004560 [[Candida] auris]	specific	403079	14	316	1.4005e-71	242.905	pfam11765	Hyphal_reg_CWP	 - 	cl13246
Q#3 - >XP_025344416.1 hypothetical protein CXQ85_003766 [[Candida] haemuloni]	specific	403079	12	317	3.05554e-72	245.216	pfam11765	Hyphal_reg_CWP	 - 	cl13246
Q#4 - >XP_025334498.1 uncharacterized protein CXQ87_001664 [[Candida] duobushaemulonis]	specific	403079	15	315	4.56604e-76	256.772	pfam11765	Hyphal_reg_CWP	 - 	cl13246
Q#5 - >XP_025344407.1 hypothetical protein CXQ85_003757 [[Candida] haemuloni]	specific	403079	916	1219	1.21507e-72	247.142	pfam11765	Hyphal_reg_CWP	 - 	cl13246
Q#5 - >XP_025344407.1 hypothetical protein CXQ85_003757 [[Candida] haemuloni]	superfamily	416259	59	446	2.26348e-41	156.666	cl11403	pepsin_retropepsin_like superfamily	 - 	 - 
Q#6 - >XP_024713121.1 hypothetical protein C7M61_003292 [[Candida] pseudohaemulonii]	specific	403079	15	316	3.78419e-73	248.298	pfam11765	Hyphal_reg_CWP	 - 	cl13246
Q#7 - >XP_025335682.1 uncharacterized protein CXQ87_005018 [[Candida] duobushaemulonis]	specific	403079	13	315	1.44106e-77	260.239	pfam11765	Hyphal_reg_CWP	 - 	cl13246
Q#8 - >XP_025344601.1 hypothetical protein CXQ85_003952 [[Candida] haemuloni]	specific	403079	29	329	1.42663e-65	225.186	pfam11765	Hyphal_reg_CWP	 - 	cl13246
Q#9 - >XP_024713119.1 hypothetical protein C7M61_003290 [[Candida] pseudohaemulonii]	specific	403079	14	319	2.89726e-71	235.972	pfam11765	Hyphal_reg_CWP	 - 	cl13246
Q#9 - >XP_024713119.1 hypothetical protein C7M61_003290 [[Candida] pseudohaemulonii]	superfamily	406208	573	745	3.56537e-06	50.5199	cl25848	PCM1_C superfamily	N	 - 
Q#10 - >XP_025341971.1 hypothetical protein CXQ85_004549 [[Candida] haemuloni]	specific	403079	15	326	7.41073e-75	244.831	pfam11765	Hyphal_reg_CWP	 - 	cl13246
Q#10 - >XP_025341971.1 hypothetical protein CXQ85_004549 [[Candida] haemuloni]	superfamily	408397	393	464	0.000118601	45.0658	cl39934	SMYLE_N superfamily	NC	 - 
Q#10 - >XP_025341971.1 hypothetical protein CXQ85_004549 [[Candida] haemuloni]	specific	405837	585	672	0.00471609	38.4802	pfam15240	Pro-rich	N	cl26282
Q#11 - >XP_025337653.1 uncharacterized protein CXQ87_005009 [[Candida] duobushaemulonis]	specific	403079	15	323	1.6397e-66	220.564	pfam11765	Hyphal_reg_CWP	 - 	cl13246
Q#11 - >XP_025337653.1 uncharacterized protein CXQ87_005009 [[Candida] duobushaemulonis]	specific	368653	285	379	6.86772e-07	48.6347	pfam05887	Trypan_PARP	N	cl40703
