name	id	strain	length	species_id	frv.score	frv.pred	faa.score	faa.pred	signalp	pred.gpi
XP_462630.1_Dhansenii	XP_462630.1	CBS767	775	Dhansenii	1.1165728	TRUE	-0.94694612	FALSE	TRUE	TRUE
XP_002770057.1_Dhansenii	XP_002770057.1	CBS767	1597	Dhansenii	1.4463571	TRUE	1.0093861	TRUE	TRUE	TRUE
XP_025344416.1_Chaemuloni	XP_025344416.1	B11899	2672	Chaemuloni	2.2032485	TRUE	0.022158833	TRUE	TRUE	TRUE
XP_025344601.1_Chaemuloni	XP_025344601.1	B11899	1320	Chaemuloni	2.2710426	TRUE	1.3832209	TRUE	FALSE	TRUE
XP_025342839.1_Chaemuloni	XP_025342839.1	B11899	1221	Chaemuloni	2.011003	TRUE	0.49146222	TRUE	TRUE	TRUE
XP_025341971.1_Chaemuloni	XP_025341971.1	B11899	729	Chaemuloni	0.69446325	TRUE	0.8635871	TRUE	TRUE	TRUE
XP_025343300.1_Chaemuloni	XP_025343300.1	B11899	2259	Chaemuloni	2.002001	TRUE	0.67866371	TRUE	FALSE	TRUE
XP_025343289.1_Chaemuloni	XP_025343289.1	B11899	1165	Chaemuloni	1.7040282	TRUE	-0.21448454	TRUE	TRUE	TRUE
XP_025341988.1_Chaemuloni	XP_025341988.1	B11899	962	Chaemuloni	1.2574497	TRUE	1.4834457	TRUE	TRUE	TRUE
XP_025341634.1_Chaemuloni	XP_025341634.1	B11899	817	Chaemuloni	0.59255239	TRUE	0.3443462	TRUE	TRUE	TRUE
XP_025344020.1_Chaemuloni	XP_025344020.1	B11899	745	Chaemuloni	1.3280316	TRUE	-0.24920388	TRUE	TRUE	TRUE
XP_025344415.1_Chaemuloni	XP_025344415.1	B11899	1650	Chaemuloni	1.5674392	TRUE	-2.9549249	FALSE	TRUE	TRUE
XP_025344412.1_Chaemuloni	XP_025344412.1	B11899	2109	Chaemuloni	1.5747185	TRUE	1.6659429	TRUE	FALSE	TRUE
XP_024716365.1_Cpseudohaemulonis	XP_024716365.1	B12108	2268	Cpseudohaemulonis	1.7024382	TRUE	-0.39915064	TRUE	FALSE	TRUE
XP_024713121.1_Cpseudohaemulonis	XP_024713121.1	B12108	3335	Cpseudohaemulonis	2.1641332	TRUE	-1.2093823	FALSE	TRUE	TRUE
XP_024713119.1_Cpseudohaemulonis	XP_024713119.1	B12108	765	Cpseudohaemulonis	1.1041465	TRUE	1.0304394	TRUE	TRUE	TRUE
XP_024712323.1_Cpseudohaemulonis	XP_024712323.1	B12108	596	Cpseudohaemulonis	1.007737	TRUE	0.74919433	TRUE	TRUE	TRUE
XP_024711259.1_Cpseudohaemulonis	XP_024711259.1	B12108	703	Cpseudohaemulonis	1.2447821	TRUE	0.47833799	TRUE	TRUE	TRUE
XP_024711351.1_Cpseudohaemulonis	XP_024711351.1	B12108	1534	Cpseudohaemulonis	1.6323809	TRUE	-0.30748867	TRUE	TRUE	TRUE
XP_024712318.1_Cpseudohaemulonis	XP_024712318.1	B12108	3575	Cpseudohaemulonis	1.7693305	TRUE	1.6252861	TRUE	TRUE	TRUE
XP_024716363.1_Cpseudohaemulonis	XP_024716363.1	B12108	1131	Cpseudohaemulonis	1.7788828	TRUE	-0.25154087	TRUE	TRUE	TRUE
XP_024711350.1_Cpseudohaemulonis	XP_024711350.1	B12108	804	Cpseudohaemulonis	1.3197612	TRUE	0.47131503	TRUE	TRUE	TRUE
XP_024711300.1_Cpseudohaemulonis	XP_024711300.1	B12108	899	Cpseudohaemulonis	1.672778	TRUE	0.46546974	TRUE	TRUE	TRUE
XP_024713725.1_Cpseudohaemulonis	XP_024713725.1	B12108	856	Cpseudohaemulonis	0.65191347	TRUE	0.32941547	TRUE	TRUE	TRUE
XP_024713752.1_Cpseudohaemulonis	XP_024713752.1	B12108	788	Cpseudohaemulonis	0.37973826	FALSE	0.37363039	TRUE	TRUE	TRUE
PIS49865.1_B8441_Cauris	PIS49865.1	B8441	1720	Cauris	2.2423139	TRUE	0.094336288	TRUE	TRUE	TRUE
PIS50296.1_B8441_Cauris	PIS50296.1	B8441	2946	Cauris	2.0593818	TRUE	-0.34679734	TRUE	TRUE	TRUE
PIS50297.1_B8441_Cauris	PIS50297.1	B8441	664	Cauris	0.89112638	TRUE	0.62989207	TRUE	TRUE	TRUE
PIS50623.1_B8441_Cauris	PIS50623.1	B8441	717	Cauris	0.64151113	TRUE	-1.0467152	FALSE	TRUE	TRUE
PIS52481.1_B8441_Cauris	PIS52481.1	B8441	1247	Cauris	1.8499264	TRUE	0.15825754	TRUE	TRUE	TRUE
PIS52483.1_B8441_Cauris	PIS52483.1	B8441	760	Cauris	1.3109319	TRUE	-0.69909754	TRUE	TRUE	TRUE
PIS55432.1_B8441_Cauris	PIS55432.1	B8441	1375	Cauris	1.8002139	TRUE	-0.048429306	TRUE	TRUE	TRUE
PIS56617.1_B8441_Cauris	PIS56617.1	B8441	858	Cauris	1.0401109	TRUE	-1.7240339	FALSE	TRUE	TRUE
PSK74847.1_B11243_Cauris	PSK74847.1	B11243	1456	Cauris	2.3057606	TRUE	0.25110759	TRUE	TRUE	TRUE
PSK75908.1_B11243_Cauris	PSK75908.1	B11243	856	Cauris	1.1267264	TRUE	-1.6075239	FALSE	TRUE	TRUE
PSK76051.1_B11243_Cauris	PSK76051.1	B11243	1121	Cauris	1.7175595	TRUE	0.30605228	TRUE	TRUE	TRUE
