#Batch CD-search tool	NIH/NLM/NCBI
#cdsid	QM3-qcdsearch-7251704E1167CAF4-4F9FCFABD3E41DF2
#datatype	hitsFull Results
#status	0
#Start time	2020-08-15T16:01:21	Run time	0:00:00:54
#status	success

Query	Hit type	PSSM-ID	From	To	E-Value	Bitscore	Accession	Short name	Incomplete	Superfamily
Q#1 - >XP_002547904.1Ctropicalis_	specific	371712	10	329	8.92387e-117	361.931	pfam11765	Hyphal_reg_CWP	 - 	cl13246
Q#1 - >XP_002547904.1Ctropicalis_	superfamily	371712	10	329	8.92387e-117	361.931	cl13246	Hyphal_reg_CWP superfamily	 - 	 - 
Q#1 - >XP_002547904.1Ctropicalis_	non-specific	282904	736	986	0.00484762	40.67	pfam05109	Herpes_BLLF1	N	cl37540
Q#1 - >XP_002547904.1Ctropicalis_	superfamily	282904	736	986	0.00484762	40.67	cl37540	Herpes_BLLF1 superfamily	N	 - 
Q#2 - >XP_002614815.1Clusitaniae_	specific	371712	13	329	1.85512e-89	281.424	pfam11765	Hyphal_reg_CWP	 - 	cl13246
Q#2 - >XP_002614815.1Clusitaniae_	superfamily	371712	13	329	1.85512e-89	281.424	cl13246	Hyphal_reg_CWP superfamily	 - 	 - 
Q#3 - >XP_447567.2Cglabrata_	specific	371712	14	326	1.00852e-81	272.18	pfam11765	Hyphal_reg_CWP	 - 	cl13246
Q#3 - >XP_447567.2Cglabrata_	superfamily	371712	14	326	1.00852e-81	272.18	cl13246	Hyphal_reg_CWP superfamily	 - 	 - 
Q#3 - >XP_447567.2Cglabrata_	specific	366205	428	466	2.24398e-05	42.8804	pfam00624	Flocculin	 - 	cl09259
Q#3 - >XP_447567.2Cglabrata_	superfamily	366205	428	466	2.24398e-05	42.8804	cl09259	Flocculin superfamily	 - 	 - 
Q#3 - >XP_447567.2Cglabrata_	specific	366205	833	871	7.01139e-05	41.3396	pfam00624	Flocculin	 - 	cl09259
Q#3 - >XP_447567.2Cglabrata_	superfamily	366205	833	871	7.01139e-05	41.3396	cl09259	Flocculin superfamily	 - 	 - 
Q#3 - >XP_447567.2Cglabrata_	specific	366205	1193	1231	7.01139e-05	41.3396	pfam00624	Flocculin	 - 	cl09259
Q#3 - >XP_447567.2Cglabrata_	superfamily	366205	1193	1231	7.01139e-05	41.3396	cl09259	Flocculin superfamily	 - 	 - 
Q#3 - >XP_447567.2Cglabrata_	specific	366205	1148	1186	7.01139e-05	41.3396	pfam00624	Flocculin	 - 	cl09259
Q#3 - >XP_447567.2Cglabrata_	superfamily	366205	1148	1186	7.01139e-05	41.3396	cl09259	Flocculin superfamily	 - 	 - 
Q#3 - >XP_447567.2Cglabrata_	specific	366205	1103	1141	7.01139e-05	41.3396	pfam00624	Flocculin	 - 	cl09259
Q#3 - >XP_447567.2Cglabrata_	superfamily	366205	1103	1141	7.01139e-05	41.3396	cl09259	Flocculin superfamily	 - 	 - 
Q#3 - >XP_447567.2Cglabrata_	specific	366205	1058	1096	7.01139e-05	41.3396	pfam00624	Flocculin	 - 	cl09259
Q#3 - >XP_447567.2Cglabrata_	superfamily	366205	1058	1096	7.01139e-05	41.3396	cl09259	Flocculin superfamily	 - 	 - 
Q#3 - >XP_447567.2Cglabrata_	specific	366205	1013	1051	7.01139e-05	41.3396	pfam00624	Flocculin	 - 	cl09259
Q#3 - >XP_447567.2Cglabrata_	superfamily	366205	1013	1051	7.01139e-05	41.3396	cl09259	Flocculin superfamily	 - 	 - 
