ID	length	Ser	Thr
XP_024716365.1_Cpseudohaemulonis	2001	157	608
XP_036665264.1_Cparapsilosis	1340	189	375
XP_002547616.1_Ctropicalis	1409	336	236
XP_002545510.1_Ctropicalis	441	193	26
XP_002770240.1_Dhansenii	553	186	41
XP_717775.2_Calbicans	911	111	252
XP_002614115.1_Clusitaniae	458	189	28
XP_028889033.1_Cauris	2737	450	727
XP_028888611.1_Cauris	1389	241	353
XP_025344416.1_Chaemuloni	2357	274	635
XP_024713121.1_Cpseudohaemulonis	3020	361	895
XP_025334498.1_Cduobushaemulonis	2798	365	810
XP_025344407.1_Chaemuloni	4099	643	911
XP_025335682.1_Cduobushaemulonis	1558	213	377
XP_025344601.1_Chaemuloni	1005	129	258
XP_025342839.1_Chaemuloni	906	106	240
XP_024713119.1_Cpseudohaemulonis	450	79	58
XP_025337653.1_Cduobushaemulonis	322	41	75
XP_025341971.1_Chaemuloni	414	65	62
XP_025334500.1_Cduobushaemulonis	658	114	112
XP_025343300.1_Chaemuloni	1950	256	518
XP_028889034.1_Cauris	347	72	56
XP_028887965.1_Cauris	472	98	33
XP_024712323.1_Cpseudohaemulonis	281	36	55
XP_024711259.1_Cpseudohaemulonis	388	35	77
XP_025335995.1_Cduobushaemulonis	412	29	100
XP_024711351.1_Cpseudohaemulonis	1219	165	355
XP_025338053.1_Cduobushaemulonis	1470	217	425
XP_028892406.1_Cauris	1060	135	323
XP_025337648.1_Cduobushaemulonis	1112	265	171
XP_024712318.1_Cpseudohaemulonis	2953	548	628
XP_025343289.1_Chaemuloni	850	76	260
XP_024716363.1_Cpseudohaemulonis	816	50	231
XP_024711350.1_Cpseudohaemulonis	492	92	107
XP_025341988.1_Chaemuloni	645	140	103
XP_462630.1_Dhansenii	452	150	33
XP_025336698.1_Cduobushaemulonis	610	83	135
XP_002770057.1_Dhansenii	1273	135	362
XP_025341634.1_Chaemuloni	501	81	71
XP_028892087.1_Cauris	509	106	50
XP_025335681.1_Cduobushaemulonis	1032	133	271
XP_024711300.1_Cpseudohaemulonis	576	76	120
XP_025344020.1_Chaemuloni	423	55	33
XP_028889361.1_Cauris	404	114	44
XP_025344415.1_Chaemuloni	1316	409	47
XP_024713725.1_Cpseudohaemulonis	543	99	79
XP_025339494.1_Cduobushaemulonis	571	122	72
XP_025336343.1_Cduobushaemulonis	345	39	37
XP_024713752.1_Cpseudohaemulonis	436	47	57
XP_025344412.1_Chaemuloni	1800	551	289
XP_001386379.2_Sstipitis	174	23	52
XP_002550900.1_Ctropicalis	335	138	63
XP_002547764.1_Ctropicalis	1078	160	199
XP_714203.1_Calbicans	921	282	105
XP_711686.2_Calbicans	1234	333	238
XP_001385882.2_Sstipitis	253	22	91
XP_002547617.1_Ctropicalis	497	173	38
XP_002547615.1_Ctropicalis	419	146	44
XP_718630.1_Calbicans	1198	295	162
XP_717330.2_Calbicans	613	134	99
XP_001386404.2_Sstipitis	226	24	81
XP_714246.2_Calbicans	754	204	149
XP_002418802.1_Cdubliniensis	946	254	192
XP_002421924.1_Cdubliniensis	617	126	104
XP_002421951.1_Cdubliniensis	615	126	103
XP_002421505.1_Cdubliniensis	1785	487	378
XP_002420471.1_Cdubliniensis	612	153	96
XP_002549927.1_Ctropicalis	594	126	120
XP_002421668.1_Cdubliniensis	1105	266	149
XP_715137.2_Calbicans	613	137	99
XP_002421681.1_Cdubliniensis	899	136	122
XP_002420246.1_Cdubliniensis	951	215	166
XP_715535.1_Calbicans	980	229	162
XP_002546360.1_Ctropicalis	1622	417	325
XP_717969.1_Calbicans	897	137	120
XP_714201.2_Calbicans	381	112	69
XP_002420375.1_Cdubliniensis	312	82	53
XP_002547620.1_Ctropicalis	1355	463	106
XP_002545452.1_Ctropicalis	1054	174	146
XP_002550128.1_Ctropicalis	901	147	55
XP_001385681.2_Sstipitis	1967	321	534
XP_722183.2_Calbicans	596	164	76
XP_001523105.1_Lelongisporus	3177	468	500
XP_002419003.1_Cdubliniensis	202	34	46
XP_003678549.1_Ncastellii	457	71	91
XP_717774.1_Calbicans	180	27	41
XP_002550387.1_Ctropicalis	278	64	15
XP_002547891.1_Ctropicalis	354	48	92
XP_002614829.1_Clusitaniae	381	128	47
XP_002419002.1_Cdubliniensis	935	110	231
XP_002547904.1_Ctropicalis	713	192	128
XP_002614815.1_Clusitaniae	352	93	41
XP_447567.2_Cglabrata	1450	217	294
XP_002614120.1_Clusitaniae	302	146	17
XP_445977.1_Cglabrata	638	102	119
CLUG_05233_Clusitaniae	1120	201	229
B9J08_004098_Cauris	932	141	256
CPAR2_600430_Cparapsilosis	1094	164	200
CPAR2_806390_Cparapsilosis	1309	213	325
CPAR2_806420_Cparapsilosis	1383	54	158
NADE0s05e04136g_Ndelphensis	85	11	14
XP_452176.1_Klactis	445	155	50
CABR0s21e03234g_Nbracarensis	565	91	99
CANI0s04e00110g_Nnivariensis	591	111	97
