RefSeq_Protein	RefSeq_mRNA	RefSeq_Nucleotide
XP_002770057	XM_002770011	294654945
XP_025344416	XM_025487400	1418621275
XP_025344407	XM_025487391	1418621257
XP_025344601	XM_025487585	1418621645
XP_025342839	XM_025488177	1418618118
XP_025341971	XM_025488163	1418616382
XP_025343300	XM_025488533	1418619043
XP_025343289	XM_025488973	1418619021
XP_025341988	XM_025483773	1418616416
XP_025341634	XM_025487826	1418615708
XP_025344020	XM_025486470	1418620483
XP_025344415	XM_025487399	1418621273
XP_025344412	XM_025487396	1418621267
XP_024716365	XM_024856766	1383849319
XP_024713121	XM_024858634	1383853056
XP_024713119	XM_024858632	1383853052
XP_024712323	XM_024859654	1383855098
XP_024711259	XM_024860589	1383856970
XP_024711351	XM_024860430	1383856652
XP_024712318	XM_024859649	1383855088
XP_024716363	XM_024856764	1383849315
XP_024711350	XM_024860429	1383856650
XP_024711300	XM_024860492	1383856776
XP_024713725	XM_024858319	1383852426
XP_024713752	XM_024857826	1383851440
XP_462630	XM_462630	50428034
