query	pid	slen	pComplete	tID	tComplete	species	strain	qcovs	pident	q.start	q.end	s.start	s.end	evalue	staxid
Caur_Hil1	XP_028889033.1	3052		XM_029036142	no-ends	Candida auris	NA	100	100	1	316	12	327	0	498019
Caur_Hil1	XP_028888611.1	1704		XM_029036514	no-ends	Candida auris	NA	99	83.492	2	316	13	327	7.149999999999999e-167	498019
Caur_Hil1	XP_025344416.1	2672	complete	XM_025487400	no-ends	Candida haemuloni	NA	99	82.109	2	314	11	323	2.7499999999999995e-160	45357
Caur_Hil1	XP_025334498.1	3113	complete	XM_025480198	no-ends	Candida duobushaemulonis	NA	99	76.19	2	316	13	327	3.3199999999999997e-150	1231522
Caur_Hil1	XP_025344407.1	4416	complete	XM_025487391	no-ends	Candida haemuloni	NA	99	77.532	2	315	915	1230	3.78e-150	45357
Caur_Hil1	XP_024713121.1	3335		XM_024858634	no-ends	Candida pseudohaemulonii	NA	99	77.778	2	316	13	327	8.45e-150	418784
Caur_Hil1	XP_025335682.1	1873	complete	XM_025483447	no-ends	Candida duobushaemulonis	NA	100	75.316	1	316	11	326	1.15e-146	1231522
Caur_Hil1	XP_025344601.1	1320	complete	XM_025487585	no-ends	Candida haemuloni	NA	100	72.36	1	316	19	340	3.0899999999999998e-142	45357
Caur_Hil1	XP_024713119.1	765		XM_024858632	no-ends	Candida pseudohaemulonii	NA	98	66.026	2	313	13	324	4.99e-134	418784
Caur_Hil1	XP_025341971.1	729	complete	XM_025488163	no-ends	Candida haemuloni	NA	99	64.65	2	315	13	326	3.48e-132	45357
Caur_Hil1	XP_025337653.1	637	complete	XM_025483440	no-ends	Candida duobushaemulonis	NA	99	65.495	3	315	14	326	7.61e-132	1231522
Caur_Hil1	XP_025342839.1	1221	complete	XM_025488177	no-ends	Candida haemuloni	NA	99	65.079	1	315	11	325	9.059999999999999e-132	45357
Caur_Hil1	XP_025334500.1	973	complete	XM_025480200	no-ends	Candida duobushaemulonis	NA	98	66.026	2	313	13	324	3.88e-131	1231522
Caur_Hil1	XP_028887965.1	787		XM_029037571	no-ends	Candida auris	NA	98	66.881	2	312	11	321	3.26e-129	498019
Caur_Hil1	XP_025343300.1	2259	complete	XM_025488533	no-ends	Candida haemuloni	NA	96	67.647	9	314	3	308	5.619999999999999e-129	45357
Caur_Hil1	XP_028889034.1	662		XM_029036143	no-ends	Candida auris	NA	99	64.856	1	313	12	324	8.08e-129	498019
Caur_Hil1	XP_024712323.1	596		XM_024859654	no-ends	Candida pseudohaemulonii	NA	98	65.273	5	315	16	326	6.12e-127	418784
Caur_Hil1	XP_024711259.1	703		XM_024860589	no-ends	Candida pseudohaemulonii	NA	98	63.462	3	314	14	325	1.6100000000000002e-123	418784
Caur_Hil1	XP_025335995.1	727	complete	XM_025483760	no-ends	Candida duobushaemulonis	NA	98	62.821	3	314	14	325	1.0799999999999998e-121	1231522
Caur_Hil1	XP_024711351.1	1534		XM_024860430	no-ends	Candida pseudohaemulonii	NA	99	60.952	1	315	10	324	9.7e-116	418784
Caur_Hil1	XP_028892406.1	1375		XM_029033814	no-ends	Candida auris	NA	98	61.022	1	312	8	319	6.37e-115	498019
Caur_Hil1	XP_025338053.1	1785	complete	XM_025483110	no-ends	Candida duobushaemulonis	NA	99	62.222	1	315	10	324	1.32e-114	1231522
Caur_Hil1	XP_025337648.1	1427	complete	XM_025483435	no-ends	Candida duobushaemulonis	NA	99	57.778	1	315	12	326	1.01e-108	1231522
Caur_Hil1	XP_024712318.1	3575		XM_024859649	no-ends	Candida pseudohaemulonii	NA	99	57.778	2	316	13	327	1.47e-102	418784
Caur_Hil1	XP_025343289.1	1165	complete	XM_025488973	no-ends	Candida haemuloni	NA	97	54.839	1	309	12	320	3.67e-95	45357
Caur_Hil1	XP_024716365.1	2268		XM_024856766	no-ends	Candida pseudohaemulonii	NA	81	62.162	51	309	5	262	2.07e-90	418784
Caur_Hil1	XP_024716363.1	1131		XM_024856764	no-ends	Candida pseudohaemulonii	NA	98	52.396	1	312	11	322	4.7999999999999993e-88	418784
Caur_Hil1	XP_024711350.1	804		XM_024860429	no-ends	Candida pseudohaemulonii	NA	99	48.243	3	315	13	322	5.12e-78	418784
Caur_Hil1	XP_025341988.1	962	complete	XM_025483773	no-ends	Candida haemuloni	NA	98	47.134	2	313	13	326	3.79e-72	45357
Caur_Hil1	XP_462630.1	775		XM_462630	no-ends	Debaryomyces hansenii	CBS767	96	45.426	4	309	14	327	2.6e-70	284592
Caur_Hil1	XP_018712269.1	363	no-ends	XM_018855281	no-ends	Metschnikowia bicuspidata	var. bicuspidata NRRL YB-4993	96	47.17	9	314	2	318	4.98e-70	869754
Caur_Hil1	XP_018709942.1	360	no-right	XM_018858047	no-ends	Metschnikowia bicuspidata	var. bicuspidata NRRL YB-4993	100	44.817	1	316	12	338	5.22e-68	869754
Caur_Hil1	XP_002770057.1	1597		XM_002770011	no-ends	Debaryomyces hansenii	CBS767	99	43.865	1	313	12	332	1.61e-62	284592
Caur_Hil1	XP_025341634.1	817	complete	XM_025487826	no-ends	Candida haemuloni	NA	98	40	5	315	18	330	8.48e-62	45357
Caur_Hil1	XP_025336698.1	932	complete	XM_025482080	no-ends	Candida duobushaemulonis	NA	99	41.304	1	314	12	332	4.47e-61	1231522
Caur_Hil1	XP_028892087.1	833		XM_029033495	no-ends	Candida auris	NA	96	43.312	10	314	19	332	5.74e-61	498019
Caur_Hil1	XP_025344020.1	745	complete	XM_025486470	no-ends	Candida haemuloni	NA	96	42.357	10	314	19	330	4.93e-60	45357
Caur_Hil1	XP_025335681.1	1353	complete	XM_025483446	no-ends	Candida duobushaemulonis	NA	95	43.322	11	311	22	327	5.36e-59	1231522
Caur_Hil1	XP_024711300.1	899		XM_024860492	no-ends	Candida pseudohaemulonii	NA	99	40.248	1	314	12	333	7.65e-58	418784
Caur_Hil1	XP_028889361.1	717		XM_029036470	no-ends	Candida auris	NA	98	38.387	5	314	18	325	3.1199999999999996e-56	498019
Caur_Hil1	XP_018709340.1	516		XM_018858205	no-ends	Metschnikowia bicuspidata	var. bicuspidata NRRL YB-4993	99	42.056	1	314	12	329	1.4599999999999997e-55	869754
Caur_Hil1	XP_025344415.1	1650	complete	XM_025487399	no-ends	Candida haemuloni	NA	97	37.69	1	309	12	339	2.26e-53	45357
Caur_Hil1	XP_024713725.1	856		XM_024858319	no-ends	Candida pseudohaemulonii	NA	98	37.621	5	315	18	326	5.74e-53	418784
Caur_Hil1	XP_025339494.1	884	complete	XM_025480021	no-ends	Candida duobushaemulonis	NA	98	38.585	5	315	18	326	2.96e-52	1231522
Caur_Hil1	XP_025336343.1	694	complete	XM_025481725	no-ends	Candida duobushaemulonis	NA	96	36.095	10	314	19	354	4.72e-49	1231522
Caur_Hil1	XP_024713752.1	788		XM_024857826	no-ends	Candida pseudohaemulonii	NA	96	36.152	10	314	19	359	5.04e-47	418784
Caur_Hil1	XP_025344412.1	2109	complete	XM_025487396	no-ends	Candida haemuloni	NA	97	40.065	9	315	6	310	2.21e-42	45357
Caur_Hil1	XP_018710225.1	327		XM_018854360	no-ends	Metschnikowia bicuspidata	var. bicuspidata NRRL YB-4993	96	37.898	5	309	14	322	1.74e-39	869754
Caur_Hil1	XP_018710224.1	498	no-left	XM_018856270	no-ends	Metschnikowia bicuspidata	var. bicuspidata NRRL YB-4993	68	46.491	102	316	1	226	7.49e-36	869754
Caur_Hil1	XP_018710762.1	336		XM_018856019		Metschnikowia bicuspidata	var. bicuspidata NRRL YB-4993	96	34.069	4	309	14	324	7.509999999999999e-32	869754
Caur_Hil1	XP_018713570.1	338		XM_018859381	no-ends	Metschnikowia bicuspidata	var. bicuspidata NRRL YB-4993	97	34.375	1	309	10	326	9.24e-32	869754
Caur_Hil1	XP_018714228.1	329	no-right	XM_018855567	no-right	Metschnikowia bicuspidata	var. bicuspidata NRRL YB-4993	97	31.546	3	309	5	316	5.989999999999999e-31	869754
Caur_Hil1	XP_018714595.1	335		XM_018855641		Metschnikowia bicuspidata	var. bicuspidata NRRL YB-4993	99	30.341	1	313	9	328	2.75e-29	869754
Caur_Hil1	XP_018709273.1	336		XM_018856413		Metschnikowia bicuspidata	var. bicuspidata NRRL YB-4993	96	32.71	4	309	14	324	3.08e-29	869754
Caur_Hil1	XP_018709275.1	330	no-left	XM_018856415	no-left	Metschnikowia bicuspidata	var. bicuspidata NRRL YB-4993	97	31.861	3	309	5	316	3.8600000000000003e-29	869754
Caur_Hil1	XP_006687291.1	228		XM_006687228	no-right	Yamadazyma tenuis	ATCC 10573	58	37.566	10	193	21	207	1.7000000000000002e-27	590646
Caur_Hil1	XP_001523310.1	203		XM_001523260	no-ends	Lodderomyces elongisporus	NRRL YB-4239	56	39.13	3	181	13	193	3.9300000000000005e-27	379508
Caur_Hil1	XP_001526001.1	196		XM_001525951	no-ends	Lodderomyces elongisporus	NRRL YB-4239	57	39.785	1	181	11	193	1.1800000000000001e-26	379508
Caur_Hil1	XP_006684153.1	207	no-right	XM_006684090	no-right	Yamadazyma tenuis	ATCC 10573	61	36.816	1	193	9	207	2.74e-26	590646
Caur_Hil1	XP_018713134.1	381		XM_018853991	no-ends	Metschnikowia bicuspidata	var. bicuspidata NRRL YB-4993	100	31.642	1	316	12	336	5.33e-26	869754
Caur_Hil1	XP_018712964.1	345		XM_018855835		Metschnikowia bicuspidata	var. bicuspidata NRRL YB-4993	97	31.269	1	309	10	327	1.37e-25	869754
Caur_Hil1	XP_018714655.1	339		XM_018855650		Metschnikowia bicuspidata	var. bicuspidata NRRL YB-4993	96	31.23	9	313	22	331	2.86e-25	869754
