ID	length	Ser	Thr
XP_019330598.1	362	38	27
XP_019330599.1	43	2	1
XP_019330600.1	94	9	7
XP_019330601.1	478	35	38
XP_019330602.1	150	14	11
XP_019330603.1	449	39	27
XP_019330604.1	252	20	14
XP_019330605.1	1411	124	85
XP_019330606.1	124	4	4
XP_019330607.1	152	17	7
XP_019330608.1	89	9	3
XP_019330609.1	87	7	2
XP_019330610.1	132	6	5
XP_019330611.1	291	31	20
XP_019330612.1	262	9	15
XP_019330613.1	1019	83	59
XP_019330614.1	366	50	29
XP_019330615.1	92	6	3
XP_019330616.1	701	51	34
XP_019330617.1	88	2	5
XP_019330618.1	127	16	2
XP_019330619.1	57	4	2
XP_019330620.1	63	0	1
XP_019330621.1	142	8	8
XP_019330622.1	200	13	11
XP_019330623.1	1417	104	79
XP_019330624.1	176	16	7
XP_019330625.1	221	9	8
XP_019330626.1	423	61	40
XP_019330627.1	397	22	22
XP_019330628.1	376	34	25
XP_019330629.1	565	48	21
XP_019330630.1	32	2	1
XP_019330631.1	130	6	7
XP_019330632.1	79	6	4
XP_019330633.1	578	64	58
XP_019330634.1	89	7	8
XP_019330635.1	368	13	14
XP_019330636.1	428	24	19
XP_019330637.1	277	24	12
XP_019330638.1	676	40	41
XP_019330639.1	83	8	4
XP_019330640.1	924	81	62
XP_019330641.1	253	23	13
XP_019330642.1	253	21	10
XP_019330643.1	332	18	20
XP_019330644.1	62	11	7
XP_019330645.1	546	35	26
XP_019330646.1	73	7	7
XP_019330647.1	203	14	8
XP_019330648.1	77	8	2
XP_019330649.1	76	2	5
XP_019330650.1	82	8	6
XP_019330651.1	499	51	21
XP_019330652.1	206	7	14
XP_019330653.1	135	8	4
XP_019330654.1	241	10	11
XP_019330655.1	69	2	3
XP_019330656.1	78	3	3
XP_019330657.1	367	56	34
XP_019330658.1	132	10	12
XP_019330659.1	51	2	3
XP_019330660.1	175	15	10
XP_019330661.1	47	1	2
XP_019330662.1	97	6	3
XP_019330663.1	67	4	3
XP_019330664.1	942	89	45
XP_019330665.1	122	6	7
XP_019330666.1	156	17	7
XP_019330667.1	103	11	4
XP_019330668.1	80	6	8
XP_019330669.1	68	6	2
XP_019330670.1	69	8	1
XP_019330671.1	1017	64	42
XP_019330672.1	31	1	1
XP_019330673.1	63	7	0
XP_019330674.1	74	15	2
XP_019330675.1	128	6	3
XP_019330676.1	168	15	7
XP_019330677.1	63	3	4
XP_019330678.1	175	16	8
XP_019330679.1	283	23	11
XP_019330680.1	240	17	6
XP_019330681.1	148	12	11
XP_019330682.1	74	4	3
XP_019330683.1	364	25	21
XP_019330684.1	509	60	35
XP_019330685.1	72	7	6
XP_019330686.1	94	9	5
XP_019330687.1	107	4	6
XP_019330688.1	124	11	5
XP_019330689.1	106	2	8
XP_019330690.1	1228	93	80
XP_019330691.1	129	15	5
XP_019330692.1	137	9	10
XP_019330693.1	218	18	12
XP_019330694.1	231	24	19
XP_019330695.1	260	20	14
XP_019330696.1	63	3	4
XP_019330697.1	298	33	14
XP_019330698.1	254	12	13
XP_019330699.1	45	12	8
XP_019330700.1	76	7	3
XP_019330701.1	90	7	9
XP_019330702.1	113	13	10
XP_019330703.1	1296	176	76
XP_019330704.1	177	16	10
XP_019330705.1	73	2	6
XP_019330706.1	84	10	4
XP_019330707.1	202	17	11
XP_019330708.1	314	19	20
XP_019330709.1	67	4	5
XP_019330710.1	136	7	6
XP_019330711.1	138	12	11
XP_019330712.1	324	23	20
XP_019330713.1	137	11	10
XP_019330714.1	214	15	17
XP_019330715.1	77	4	3
