qseqid	sseqid	qlen	slen	pident	mismatch	score	bitscore	evalue
B9J08_001155	ref|XP_028892087.1|	858	833	96.853	2	3875	1497	0.0
B9J08_001531	ref|XP_028892406.1|	1375	1375	99.855	2	6643	2563	0.0
B9J08_004098	ref|XP_025342839.1|	1247	1221	54.782	445	2444	946	0.0
B9J08_004100	ref|XP_028887965.1|	760	787	96.442	1	3504	1354	0.0
B9J08_004109	ref|XP_028889033.1|	2946	3052	95.611	23	8974	3461	0.0
B9J08_004110	ref|XP_028889034.1|	664	662	99.548	1	3397	1313	0.0
B9J08_004451	ref|XP_028889361.1|	717	717	99.163	6	3553	1373	0.0
B9J08_004892	ref|XP_028888611.1|	1720	1704	99.012	1	8221	3171	0.0
C1_13450W_A	ref|XP_722183.2|	919	919	100.000	0	4618	1783	0.0
C2_09130C_A	ref|XP_714246.2|	1085	1085	100.000	0	5172	1996	0.0
C3_00580W_A	ref|XP_002419002.1|	1245	1268	81.667	99	2164	838	0.0
C3_00580W_A	ref|XP_002419002.1|	1245	1268	73.913	6	72	32.3	0.026
C3_00580W_A	ref|XP_002419002.1|	1245	1268	61.290	3	67	30.4	0.10
C3_00580W_A	ref|XP_002419002.1|	1245	1268	51.282	17	53	25.0	4.6
C3_00600W_A	ref|XP_717774.1|	511	511	100.000	0	2630	1017	0.0
C4_06550C_A	ref|XP_715535.1|	1308	1308	100.000	0	6539	2523	0.0
C5_00710W_A	ref|XP_714201.2|	714	714	100.000	0	3510	1356	0.0
C5_00730W_A	ref|XP_714203.1|	1249	1249	100.000	0	6054	2336	0.0
C7_03290C_A	ref|XP_711686.2|	1562	1562	100.000	0	7552	2913	0.0
CAGL0E06600g	ref|XP_445977.1|	965	965	100.000	0	5028	1941	0.0
CAGL0I07293g	ref|XP_447567.2|	1771	1771	100.000	0	9116	3516	0.0
CAGL0L00227g	ref|XP_034012484.1|	3241	933	27.298	183	192	78.6	5.13e-16
CAGL0L00227g	ref|XP_034012484.1|	3241	933	49.032	52	55	25.8	6.7
CAGL0L00227g	ref|XP_034012484.1|	3241	933	47.590	61	54	25.4	7.2
CAGL0L00227g	ref|XP_034012484.1|	3241	933	47.531	59	54	25.4	8.8
CLUG_04844	ref|XP_002614829.1|	702	702	100.000	0	3521	1360	0.0
CLUG_05233	ref|XP_002614815.1|	1442	674	69.298	126	2153	833	0.0
CLUG_05233	ref|XP_002614815.1|	1442	674	43.713	62	206	84.0	3.00e-18
CLUG_05233	ref|XP_002614815.1|	1442	674	41.818	61	195	79.7	6.86e-17
CLUG_05233	ref|XP_002614815.1|	1442	674	42.405	61	189	77.4	3.87e-16
CLUG_05233	ref|XP_002614815.1|	1442	674	41.772	62	182	74.7	2.56e-15
CLUG_05233	ref|XP_002614815.1|	1442	674	41.139	63	179	73.6	5.73e-15
CLUG_05233	ref|XP_002614815.1|	1442	674	37.500	68	159	65.9	1.37e-12
CLUG_05233	ref|XP_002614815.1|	1442	674	48.077	25	73	32.7	0.018
CLUG_05593	ref|XP_002614815.1|	674	674	100.000	0	3445	1331	0.0
CLUG_05601	ref|XP_002614120.1|	780	624	58.507	139	1055	410	5.44e-136
CLUG_05606	ref|XP_002614120.1|	624	624	100.000	0	3061	1183	0.0
CPAR2_600430	ref|XP_002547764.1|	1429	1405	35.160	334	767	300	4.68e-85
CPAR2_600430	ref|XP_002547764.1|	1429	1405	36.111	96	194	79.3	1.30e-16
CPAR2_600430	ref|XP_002547764.1|	1429	1405	37.391	51	107	45.8	2.29e-06
CPAR2_806390	ref|XP_002421505.1|	1640	2113	54.225	314	2026	785	0.0
CPAR2_806390	ref|XP_002421505.1|	1640	2113	50.089	193	1052	409	7.36e-119
CPAR2_806390	ref|XP_002421505.1|	1640	2113	43.307	204	743	290	3.57e-81
