# TBLASTN 2.11.0+
# Query: XP_028889033.1_Cauris
# Database: ../input/blastdb/cauris-no-clade-ii
subject id	% query coverage per subject	q. start	q. end	subject length	s. start	s. end	% identity	mismatches	evalue
# 13 hits found
gb|CP060373.1|	10	12	327	945735	24704	25651	100.000	0	0.0
gb|PGLS01000005.1|	10	12	327	949235	23482	24429	100.000	0	0.0
gb|CP060358.1|	10	12	327	945302	925877	924930	100.000	0	0.0
gb|CP060379.1|	10	12	327	948455	15681	16628	99.684	1	0.0
gb|CP060344.1|	10	12	327	978324	24993	25940	99.684	1	0.0
gb|CP060351.1|	10	12	327	984263	25466	26413	99.367	2	0.0
gb|CP043447.1|	10	12	327	970309	944923	943976	99.367	2	0.0
gb|CP043446.1|	10	13	327	988297	971028	970084	84.127	50	5.07e-173
gb|CP060350.1|	10	13	327	997114	979947	979003	84.127	50	5.07e-173
gb|PGLS01000006.1|	10	13	327	996432	23966	24910	83.492	52	2.62e-172
gb|CP060357.1|	10	13	327	996679	23940	24884	83.492	52	2.62e-172
gb|CP060378.1|	10	13	327	1003434	978573	977629	83.492	52	2.62e-172
gb|CP060343.1|	10	13	327	1028427	978521	977577	83.492	52	2.62e-172
# BLAST processed 1 queries
