name	gID	pID	length
Hil8	B9J08_004110	PIS50297.1_B8441_Cauris	664
Hil7	B9J08_004451	PIS50623.1_B8441_Cauris	717
Hil6	B9J08_004100	PIS52483.1_B8441_Cauris	760
Hil5	B9J08_001155	PIS56617.1_B8441_Cauris	858
Hil4	B9J08_004098	PIS52481.1_B8441_Cauris	1247
Hil3	B9J08_001531	PIS55432.1_B8441_Cauris	1375
Hil2	B9J08_004892	PIS49865.1_B8441_Cauris	1720
Hil1	B9J08_004109	PIS50296.1_B8441_Cauris	2946
