source	id	species	strain	e_value	query_cover	perc_ident	length
refseq	XP_024716365.1	Candida pseudohaemulonis	B12108	7e-89	71	62.16	2268
refseq	XP_036665264.1	Candida parapsilosis	CDC317	1.9999999999999998e-26	87	32.06	1671
refseq	XP_002547616.1	Candida tropicalis	MYA-3404	2e-12	56	30.09	1626
refseq	XP_002545510.1	Candida tropicalis	MYA-3404	9e-12	50	29.95	656
refseq	XP_002770240.1	Debaryomyces hansenii	CBS767	4e-11	69	33.92	949
refseq	XP_717775.2	Candida albicans	SC5314	9e-9	58	27.31	1244
refseq	XP_002614115.1	Clavispora lusitaniae	ATCC 42720	3e-8	76	30.33	780
refseq	XP_028889033.1	Candida auris	B11221	0	59	100	3052
refseq	XP_028888611.1	Candida auris	B11221	3.0000000000000004e-168	58	82.82	1704
refseq	XP_025344416.1	Candida haemuloni	B11899	1e-160	57	81.31	2672
refseq	XP_024713121.1	Candida pseudohaemulonis	B12108	6e-150	58	76.69	3335
refseq	XP_025334498.1	Candida duobushaemulonis	B09383	1e-149	58	74.77	3113
refseq	XP_025344407.1	Candida haemuloni	B11899	5e-149	56	77.5	4416
refseq	XP_025335682.1	Candida duobushaemulonis	B09383	2e-148	58	74.85	1873
refseq	XP_025344601.1	Candida haemuloni	B11899	5e-144	58	72.09	1320
refseq	XP_025342839.1	Candida haemuloni	B11899	2e-131	59	63.86	1221
refseq	XP_024713119.1	Candida pseudohaemulonis	B12108	9e-131	56	65.71000000000001	765
refseq	XP_025337653.1	Candida duobushaemulonis	B09383	2e-129	57	64.2	637
refseq	XP_025341971.1	Candida haemuloni	B11899	2e-129	56	64.26	729
refseq	XP_025334500.1	Candida duobushaemulonis	B09383	1e-127	56	65.09	973
refseq	XP_025343300.1	Candida haemuloni	B11899	4e-126	55	66.99000000000001	2259
refseq	XP_028889034.1	Candida auris	B11221	2e-125	56	64.76	662
refseq	XP_028887965.1	Candida auris	B11221	2e-125	55	66.88	787
refseq	XP_024712323.1	Candida pseudohaemulonis	B12108	1e-123	56	64.78	596
refseq	XP_024711259.1	Candida pseudohaemulonis	B12108	1e-120	58	61.54	703
refseq	XP_025335995.1	Candida duobushaemulonis	B09383	9e-119	58	60.92	727
refseq	XP_024711351.1	Candida pseudohaemulonis	B12108	1e-115	58	59.7	1534
refseq	XP_025338053.1	Candida duobushaemulonis	B09383	2e-114	58	60.91	1785
refseq	XP_028892406.1	Candida auris	B11221	2e-111	55	61.02	1375
refseq	XP_025337648.1	Candida duobushaemulonis	B09383	5e-109	59	56.8	1427
refseq	XP_024712318.1	Candida pseudohaemulonis	B12108	6.999999999999999e-104	59	57.1	3575
refseq	XP_025343289.1	Candida haemuloni	B11899	1e-94	55	54.949999999999996	1165
refseq	XP_024716363.1	Candida pseudohaemulonis	B12108	2e-87	57	52.01	1131
refseq	XP_024711350.1	Candida pseudohaemulonis	B12108	1e-77	57	47.83	804
refseq	XP_025341988.1	Candida haemuloni	B11899	2.9999999999999997e-74	57	46.93	962
refseq	XP_462630.1	Debaryomyces hansenii	CBS767	2e-67	54	45.43	775
refseq	XP_025336698.1	Candida duobushaemulonis	B09383	1e-60	58	40.839999999999996	932
refseq	XP_002770057.1	Debaryomyces hansenii	CBS767	2.9999999999999996e-60	59	42.44	1597
refseq	XP_025341634.1	Candida haemuloni	B11899	8e-60	55	40.06	817
refseq	XP_028892087.1	Candida auris	B11221	2e-59	56	43.120000000000005	833
refseq	XP_025335681.1	Candida duobushaemulonis	B09383	2e-58	57	42.99	1353
refseq	XP_024711300.1	Candida pseudohaemulonis	B12108	8e-58	58	40.120000000000005	899
refseq	XP_025344020.1	Candida haemuloni	B11899	1e-57	54	42.36	745
refseq	XP_028889361.1	Candida auris	B11221	6e-54	55	38.339999999999996	717
refseq	XP_025344415.1	Candida haemuloni	B11899	5e-52	55	37.65	1650
refseq	XP_024713725.1	Candida pseudohaemulonis	B12108	5e-51	55	37.7	856
refseq	XP_025339494.1	Candida duobushaemulonis	B09383	2e-50	55	38.660000000000004	884
refseq	XP_025336343.1	Candida duobushaemulonis	B09383	9e-47	54	36.09	694
refseq	XP_024713752.1	Candida pseudohaemulonis	B12108	4e-45	58	35.260000000000005	788
refseq	XP_025344412.1	Candida haemuloni	B11899	9e-42	55	40.32	2109
refseq	XP_001386379.2	Scheffersomyces stipitis	CBS 6054	7e-38	57	34.01	501
refseq	XP_002550900.1	Candida tropicalis	MYA-3404	3e-35	57	32.94	665
refseq	XP_002547764.1	Candida tropicalis	MYA-3404	6e-34	58	34.08	1405
refseq	XP_714203.1	Candida albicans	SC5314	1e-33	57	34.5	1249
refseq	XP_711686.2	Candida albicans	SC5314	2e-32	57	35.96	1562
refseq	XP_001385882.2	Scheffersomyces stipitis	CBS 6054	2e-32	57	32.760000000000005	580
refseq	XP_002547617.1	Candida tropicalis	MYA-3404	4e-31	53	33.54	827
refseq	XP_002547615.1	Candida tropicalis	MYA-3404	1e-30	56	32.449999999999996	749
refseq	XP_718630.1	Candida albicans	SC5314	9.000000000000001e-30	57	31.21	1526
refseq	XP_717330.2	Candida albicans	SC5314	2e-29	56	31.74	941
refseq	XP_001386404.2	Scheffersomyces stipitis	CBS 6054	5e-29	57	32.849999999999994	555
refseq	XP_714246.2	Candida albicans	SC5314	3e-28	56	31.959999999999997	1085
refseq	XP_002418802.1	Candida dubliniensis	CD36	3e-28	56	32.160000000000004	1277
refseq	XP_002421924.1	Candida dubliniensis	CD36	4e-28	56	30.84	945
refseq	XP_002421951.1	Candida dubliniensis	CD36	4e-28	56	31.14	943
refseq	XP_002421505.1	Candida dubliniensis	CD36	5e-28	57	34.4	2113
refseq	XP_002420471.1	Candida dubliniensis	CD36	7e-28	58	32.760000000000005	940
refseq	XP_002549927.1	Candida tropicalis	MYA-3404	1e-27	57	31.979999999999997	925
refseq	XP_002421668.1	Candida dubliniensis	CD36	2e-27	56	31.25	1433
refseq	XP_715137.2	Candida albicans	SC5314	4e-27	56	30.24	941
refseq	XP_002421681.1	Candida dubliniensis	CD36	5e-27	56	31.34	1227
refseq	XP_002420246.1	Candida dubliniensis	CD36	9e-27	56	32.349999999999994	1279
refseq	XP_715535.1	Candida albicans	SC5314	1e-26	58	31.99	1308
refseq	XP_002546360.1	Candida tropicalis	MYA-3404	2e-26	53	31.38	1952
refseq	XP_717969.1	Candida albicans	SC5314	4e-26	56	29.85	1225
refseq	XP_714201.2	Candida albicans	SC5314	1e-24	57	30.43	714
refseq	XP_002420375.1	Candida dubliniensis	CD36	2e-24	56	30.64	649
refseq	XP_002547620.1	Candida tropicalis	MYA-3404	2e-24	58	30.73	1689
refseq	XP_002545452.1	Candida tropicalis	MYA-3404	5e-24	58	29.23	1383
refseq	XP_002550128.1	Candida tropicalis	MYA-3404	2.9999999999999997e-20	57	30.35	1230
refseq	XP_001385681.2	Scheffersomyces stipitis	CBS 6054	1e-18	52	34.290000000000006	2303
refseq	XP_722183.2	Candida albicans	SC5314	1e-17	56	27.110000000000003	919
refseq	XP_001523105.1	Lodderomyces elongisporus	NRRL YB-4239	1e-14	57	29.07	3496
refseq	XP_002419003.1	Candida dubliniensis	CD36	6e-14	56	26.04	534
refseq	XP_003678549.1	Naumovozyma castellii	type strain:CBS 4309	6.000000000000001e-13	53	27.87	773
refseq	XP_717774.1	Candida albicans	SC5314	1e-12	56	25.74	511
refseq	XP_002550387.1	Candida tropicalis	MYA-3404	5e-12	54	27.1	588
refseq	XP_002547891.1	Candida tropicalis	MYA-3404	9e-12	53	25.71	669
refseq	XP_002614829.1	Clavispora lusitaniae	ATCC 42720	3e-11	50	29.35	702
refseq	XP_002419002.1	Candida dubliniensis	CD36	6e-11	58	25.43	1268
refseq	XP_002547904.1	Candida tropicalis	MYA-3404	2e-9	56	28.02	1038
refseq	XP_002614815.1	Clavispora lusitaniae	ATCC 42720	5e-9	56	26.84	674
refseq	XP_447567.2	Candida glabrata	CBS 138	3.0000000000000004e-8	51	28.310000000000002	1771
refseq	XP_002614120.1	Clavispora lusitaniae	ATCC 42720	3e-7	56	26.67	624
refseq	XP_445977.1	Candida glabrata	CBS 138	2e-6	55	28.36	965
FungiDB	B9J08_004098	Candida auris	B8441	8.000000000000001e-131	NA	NA	1247
FungiDB	CLUG_05233	Clavispora lusitaniae	ATCC 42720	6e-9	NA	NA	1442
FungiDB	CPAR2_600430	Candida parapsilosis	CDC317	1e-8	NA	NA	1429
FungiDB	CPAR2_806390	Candida parapsilosis	CDC317	5e-22	NA	NA	1640
FungiDB	CPAR2_806420	Candida parapsilosis	CDC317	2e-9	NA	NA	1714
GRYC	NADE0s05e04136g	Nakaseomyces delphensis	CBS 2170	4e-11	63.074	29.305	409
GRYC	XP_452176.1	Kluyveromyces lactis	CBS 2359	9e-10	61.277	27.628	766
GRYC	CABR0s21e03234g	Nakaseomyces bracarensis	CBS 10154	3e-7	63.473	27.545	892
GRYC	CANI0s04e00110g	Nakaseomyces nivariensis	CBS 9983	7e-6	58.882	28.616	918
