name	species	len	pComplete	frv.pred	sp.pred	gpi.pred	frv.score	sp.prob	cleavePos
XP_028889033.1_Candida_auris	Candida auris	3052	NA	TRUE	TRUE	TRUE	2.0716514	0.999773	3027
XP_028888611.1_Candida_auris	Candida auris	1704	NA	TRUE	TRUE	TRUE	2.2529493	0.999586	1681
XP_025344416.1_Candida_haemuloni	Candida haemuloni	2672	complete	TRUE	TRUE	TRUE	2.2032485	0.99969655	2647
XP_025334498.1_Candida_duobushaemulonis	Candida duobushaemulonis	3113	complete	TRUE	TRUE	TRUE	2.1664439	0.6779559	3088
XP_025344407.1_Candida_haemuloni	Candida haemuloni	4416	complete	TRUE	TRUE	TRUE	1.8671651	0.99888325	4393
XP_024713121.1_Candida_pseudohaemulonii	Candida pseudohaemulonii	3335	NA	TRUE	FALSE	TRUE	2.1641332	NA	3310
XP_025335682.1_Candida_duobushaemulonis	Candida duobushaemulonis	1873	complete	TRUE	TRUE	TRUE	2.0773312	0.9997445	1848
XP_025344601.1_Candida_haemuloni	Candida haemuloni	1320	complete	TRUE	FALSE	TRUE	2.2710426	NA	1296
XP_024713119.1_Candida_pseudohaemulonii	Candida pseudohaemulonii	765	NA	TRUE	TRUE	TRUE	1.1041465	0.99964434	740
XP_025341971.1_Candida_haemuloni	Candida haemuloni	729	complete	TRUE	TRUE	TRUE	0.69446325	0.99975276	709
XP_025337653.1_Candida_duobushaemulonis	Candida duobushaemulonis	637	complete	TRUE	TRUE	TRUE	1.5111547	0.9997743	612
XP_025342839.1_Candida_haemuloni	Candida haemuloni	1221	complete	TRUE	TRUE	TRUE	2.011003	0.9994998	1199
XP_025334500.1_Candida_duobushaemulonis	Candida duobushaemulonis	973	complete	TRUE	TRUE	TRUE	1.5382342	0.9996492	948
XP_028887965.1_Candida_auris	Candida auris	787	NA	TRUE	TRUE	TRUE	1.3597321	0.99972945	762
XP_025343300.1_Candida_haemuloni	Candida haemuloni	2259	complete	TRUE	FALSE	TRUE	2.002001	NA	2237
XP_028889034.1_Candida_auris	Candida auris	662	NA	TRUE	TRUE	TRUE	0.91404456	0.99973327	639
XP_024712323.1_Candida_pseudohaemulonii	Candida pseudohaemulonii	596	NA	TRUE	TRUE	TRUE	1.007737	0.9997601	571
XP_024711259.1_Candida_pseudohaemulonii	Candida pseudohaemulonii	703	NA	TRUE	TRUE	TRUE	1.2447821	0.99975294	678
XP_025335995.1_Candida_duobushaemulonis	Candida duobushaemulonis	727	complete	TRUE	TRUE	TRUE	0.97613261	0.9997623	702
XP_024711351.1_Candida_pseudohaemulonii	Candida pseudohaemulonii	1534	NA	TRUE	TRUE	TRUE	1.6323809	0.99952817	1512
XP_028892406.1_Candida_auris	Candida auris	1375	NA	TRUE	TRUE	TRUE	1.7933796	0.52305704	1350
XP_025338053.1_Candida_duobushaemulonis	Candida duobushaemulonis	1785	complete	TRUE	TRUE	TRUE	1.6909601	0.9996748	1763
XP_025337648.1_Candida_duobushaemulonis	Candida duobushaemulonis	1427	complete	TRUE	FALSE	TRUE	1.1107584	NA	1401
XP_024712318.1_Candida_pseudohaemulonii	Candida pseudohaemulonii	3575	NA	TRUE	FALSE	TRUE	1.7693305	NA	3554
XP_025343289.1_Candida_haemuloni	Candida haemuloni	1165	complete	TRUE	TRUE	TRUE	1.7040282	0.9997546	1143
XP_024716365.1_Candida_pseudohaemulonii	Candida pseudohaemulonii	2268	NA	TRUE	FALSE	TRUE	1.7024382	NA	2246
XP_024716363.1_Candida_pseudohaemulonii	Candida pseudohaemulonii	1131	NA	TRUE	TRUE	TRUE	1.7788828	0.9997321	1109
XP_024711350.1_Candida_pseudohaemulonii	Candida pseudohaemulonii	804	NA	TRUE	FALSE	TRUE	1.3197612	NA	782
XP_025341988.1_Candida_haemuloni	Candida haemuloni	962	complete	TRUE	TRUE	TRUE	1.2574497	0.7185658	942
XP_462630.1_Debaryomyces_hansenii	Debaryomyces hansenii	775	NA	TRUE	TRUE	TRUE	1.1165728	0.99957985	750
XP_018712269.1_Metschnikowia_bicuspidata	Metschnikowia bicuspidata	363	no-ends	FALSE	FALSE	TRUE	0.45872482	NA	335
XP_018709942.1_Metschnikowia_bicuspidata	Metschnikowia bicuspidata	360	no-right	FALSE	FALSE	FALSE	-0.28519828	NA	335
XP_002770057.1_Debaryomyces_hansenii	Debaryomyces hansenii	1597	NA	TRUE	TRUE	TRUE	1.4463571	0.99963766	1574
XP_025341634.1_Candida_haemuloni	Candida haemuloni	817	complete	TRUE	TRUE	TRUE	0.59255239	0.9995242	797
XP_025336698.1_Candida_duobushaemulonis	Candida duobushaemulonis	932	complete	TRUE	TRUE	TRUE	1.6924266	0.9997462	907
XP_028892087.1_Candida_auris	Candida auris	833	NA	TRUE	TRUE	TRUE	1.0361986	0.9996945	809
XP_025344020.1_Candida_haemuloni	Candida haemuloni	745	complete	TRUE	TRUE	TRUE	1.3280316	0.9996227	724
XP_025335681.1_Candida_duobushaemulonis	Candida duobushaemulonis	1353	complete	TRUE	TRUE	TRUE	1.7842098	0.9997028	1328
XP_024711300.1_Candida_pseudohaemulonii	Candida pseudohaemulonii	899	NA	TRUE	TRUE	TRUE	1.672778	0.9997235	874
XP_028889361.1_Candida_auris	Candida auris	717	NA	TRUE	TRUE	TRUE	0.63070223	0.9995244	686
XP_018709340.1_Metschnikowia_bicuspidata	Metschnikowia bicuspidata	516	NA	FALSE	TRUE	TRUE	0.22016936	0.7645745	491
XP_025344415.1_Candida_haemuloni	Candida haemuloni	1650	complete	TRUE	TRUE	TRUE	1.5674392	0.99970144	1629
XP_024713725.1_Candida_pseudohaemulonii	Candida pseudohaemulonii	856	NA	TRUE	TRUE	TRUE	0.65191347	0.99968576	833
XP_025339494.1_Candida_duobushaemulonis	Candida duobushaemulonis	884	complete	TRUE	TRUE	TRUE	0.58087217	0.99966633	861
XP_025336343.1_Candida_duobushaemulonis	Candida duobushaemulonis	694	complete	FALSE	TRUE	TRUE	0.41873588	0.99966055	672
XP_024713752.1_Candida_pseudohaemulonii	Candida pseudohaemulonii	788	NA	FALSE	TRUE	TRUE	0.37973826	0.9997201	765
XP_025344412.1_Candida_haemuloni	Candida haemuloni	2109	complete	TRUE	FALSE	TRUE	1.5747185	NA	2088
XP_018710225.1_Metschnikowia_bicuspidata	Metschnikowia bicuspidata	327	NA	FALSE	TRUE	FALSE	-0.12367488	0.99967366	307
XP_018710224.1_Metschnikowia_bicuspidata	Metschnikowia bicuspidata	498	no-left	TRUE	FALSE	FALSE	1.0953323	NA	475
XP_018710762.1_Metschnikowia_bicuspidata	Metschnikowia bicuspidata	336	NA	FALSE	FALSE	FALSE	-1.0284392	NA	316
XP_018713570.1_Metschnikowia_bicuspidata	Metschnikowia bicuspidata	338	NA	FALSE	TRUE	FALSE	-1.1065066	0.9997656	315
XP_018714228.1_Metschnikowia_bicuspidata	Metschnikowia bicuspidata	329	no-right	FALSE	FALSE	TRUE	-0.50338407	NA	303
XP_018714595.1_Metschnikowia_bicuspidata	Metschnikowia bicuspidata	335	NA	FALSE	FALSE	TRUE	-1.3099254	NA	304
XP_018709273.1_Metschnikowia_bicuspidata	Metschnikowia bicuspidata	336	NA	FALSE	TRUE	FALSE	-0.82272816	0.6345941	316
XP_018709275.1_Metschnikowia_bicuspidata	Metschnikowia bicuspidata	330	no-left	FALSE	FALSE	TRUE	-0.46552461	NA	302
XP_006687291.1_Yamadazyma_tenuis	Yamadazyma tenuis	228	NA	FALSE	TRUE	FALSE	-0.61254867	0.99975896	203
XP_001523310.1_Lodderomyces_elongisporus	Lodderomyces elongisporus	203	NA	FALSE	TRUE	TRUE	-1.4031913	0.9995663	172
XP_001526001.1_Lodderomyces_elongisporus	Lodderomyces elongisporus	196	NA	FALSE	TRUE	FALSE	-0.9783779	0.99946266	172
