ID	length	Ser	Thr
XP_024716365.1_Cpseudohaemulonis	2268	189	627
XP_036665264.1_Cparapsilosis	1671	232	400
XP_002547616.1_Ctropicalis	1626	360	252
XP_002545510.1_Ctropicalis	656	214	45
XP_002770240.1_Dhansenii	949	222	69
XP_717775.2_Calbicans	1244	134	273
XP_002614115.1_Clusitaniae	780	229	57
XP_028889033.1_Cauris	3052	496	757
XP_028888611.1_Cauris	1704	284	388
XP_025344416.1_Chaemuloni	2672	327	665
XP_024713121.1_Cpseudohaemulonis	3335	414	928
XP_025334498.1_Cduobushaemulonis	3113	420	843
XP_025344407.1_Chaemuloni	4416	690	939
XP_025335682.1_Cduobushaemulonis	1873	273	415
XP_025344601.1_Chaemuloni	1320	169	292
XP_025342839.1_Chaemuloni	1221	138	268
XP_024713119.1_Cpseudohaemulonis	765	107	87
XP_025337653.1_Cduobushaemulonis	637	81	101
XP_025341971.1_Chaemuloni	729	97	95
XP_025334500.1_Cduobushaemulonis	973	146	142
XP_025343300.1_Chaemuloni	2259	290	543
XP_028889034.1_Cauris	662	107	80
XP_028887965.1_Cauris	787	128	61
XP_024712323.1_Cpseudohaemulonis	596	73	78
XP_024711259.1_Cpseudohaemulonis	703	74	100
XP_025335995.1_Cduobushaemulonis	727	68	124
XP_024711351.1_Cpseudohaemulonis	1534	200	384
XP_025338053.1_Cduobushaemulonis	1785	256	454
XP_028892406.1_Cauris	1375	168	347
XP_025337648.1_Cduobushaemulonis	1427	296	198
XP_024712318.1_Cpseudohaemulonis	3575	618	671
XP_025343289.1_Chaemuloni	1165	116	283
XP_024716363.1_Cpseudohaemulonis	1131	82	258
XP_024711350.1_Cpseudohaemulonis	804	128	139
XP_025341988.1_Chaemuloni	962	188	121
XP_462630.1_Dhansenii	775	184	57
XP_025336698.1_Cduobushaemulonis	932	126	167
XP_002770057.1_Dhansenii	1597	168	391
XP_025341634.1_Chaemuloni	817	105	93
XP_028892087.1_Cauris	833	146	79
XP_025335681.1_Cduobushaemulonis	1353	169	310
XP_024711300.1_Cpseudohaemulonis	899	116	149
XP_025344020.1_Chaemuloni	745	96	62
XP_028889361.1_Cauris	717	146	62
XP_025344415.1_Chaemuloni	1650	442	84
XP_024713725.1_Cpseudohaemulonis	856	122	104
XP_025339494.1_Cduobushaemulonis	884	145	97
XP_025336343.1_Cduobushaemulonis	694	81	67
XP_024713752.1_Cpseudohaemulonis	788	86	89
XP_025344412.1_Chaemuloni	2109	602	318
XP_001386379.2_Sstipitis	501	53	87
XP_002550900.1_Ctropicalis	665	181	93
XP_002547764.1_Ctropicalis	1405	196	227
XP_714203.1_Calbicans	1249	322	133
XP_711686.2_Calbicans	1562	378	265
XP_001385882.2_Sstipitis	580	50	128
XP_002547617.1_Ctropicalis	827	217	63
XP_002547615.1_Ctropicalis	749	190	69
XP_718630.1_Calbicans	1526	343	190
XP_717330.2_Calbicans	941	174	134
XP_001386404.2_Sstipitis	555	47	115
XP_714246.2_Calbicans	1085	238	172
XP_002418802.1_Cdubliniensis	1277	289	217
XP_002421924.1_Cdubliniensis	945	165	138
XP_002421951.1_Cdubliniensis	943	165	137
XP_002421505.1_Cdubliniensis	2113	530	405
XP_002420471.1_Cdubliniensis	940	197	122
XP_002549927.1_Ctropicalis	925	167	143
XP_002421668.1_Cdubliniensis	1433	313	177
XP_715137.2_Calbicans	941	178	133
XP_002421681.1_Cdubliniensis	1227	176	150
XP_002420246.1_Cdubliniensis	1279	256	205
XP_715535.1_Calbicans	1308	271	200
XP_002546360.1_Ctropicalis	1952	461	349
XP_717969.1_Calbicans	1225	181	148
XP_714201.2_Calbicans	714	161	92
XP_002420375.1_Cdubliniensis	649	132	72
XP_002547620.1_Ctropicalis	1689	504	133
XP_002545452.1_Ctropicalis	1383	208	167
XP_002550128.1_Ctropicalis	1230	181	74
XP_001385681.2_Sstipitis	2303	351	572
XP_722183.2_Calbicans	919	191	102
XP_001523105.1_Lelongisporus	3496	496	522
XP_002419003.1_Cdubliniensis	534	66	68
XP_003678549.1_Ncastellii	773	96	115
XP_717774.1_Calbicans	511	59	66
XP_002550387.1_Ctropicalis	588	90	55
XP_002547891.1_Ctropicalis	669	79	111
XP_002614829.1_Clusitaniae	702	167	74
XP_002419002.1_Cdubliniensis	1268	135	252
XP_002547904.1_Ctropicalis	1038	222	148
XP_002614815.1_Clusitaniae	674	113	72
XP_447567.2_Cglabrata	1771	256	324
XP_002614120.1_Clusitaniae	624	176	47
XP_445977.1_Cglabrata	965	138	147
CLUG_05233_Clusitaniae	1442	223	256
B9J08_004098_Cauris	1247	178	280
CPAR2_600430_Cparapsilosis	1429	191	223
CPAR2_806390_Cparapsilosis	1640	242	352
CPAR2_806420_Cparapsilosis	1714	72	179
NADE0s05e04136g_Ndelphensis	409	48	49
XP_452176.1_Klactis	766	183	77
CABR0s21e03234g_Nbracarensis	892	122	126
CANI0s04e00110g_Nnivariensis	918	147	125
