Description(Sequences  with  E-value BETTER than threshold),Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
Als3p [Candida albicans SC5314],Candida albicans SC5314,517,517,100%,2e-173,100.00,1155,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_710435.2?report=genbank&log$=prottop&blast_rank=1&RID=RBHFUX65013"",""XP_710435.2"")"
Als1p [Candida albicans SC5314],Candida albicans SC5314,436,436,100%,4e-141,83.33,1260,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_718077.1?report=genbank&log$=prottop&blast_rank=2&RID=RBHFUX65013"",""XP_718077.1"")"
Als5p [Candida albicans SC5314],Candida albicans SC5314,417,417,100%,3e-133,78.86,1347,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_718074.2?report=genbank&log$=prottop&blast_rank=3&RID=RBHFUX65013"",""XP_718074.2"")"
"agglutinin-like protein, putative [Candida dubliniensis CD36]",Candida dubliniensis CD36,406,406,100%,1e-129,77.64,1295,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_002421133.1?report=genbank&log$=prottop&blast_rank=4&RID=RBHFUX65013"",""XP_002421133.1"")"
Als2p [Candida albicans SC5314],Candida albicans SC5314,388,388,100%,2e-120,76.02,2362,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_712646.2?report=genbank&log$=prottop&blast_rank=5&RID=RBHFUX65013"",""XP_712646.2"")"
"agglutinin-like protein, putative [Candida dubliniensis CD36]",Candida dubliniensis CD36,381,381,100%,2e-119,73.58,1450,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_002421194.1?report=genbank&log$=prottop&blast_rank=6&RID=RBHFUX65013"",""XP_002421194.1"")"
"agglutinin-like protein, putative [Candida dubliniensis CD36]",Candida dubliniensis CD36,383,383,100%,8e-119,73.58,2674,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_002421177.1?report=genbank&log$=prottop&blast_rank=7&RID=RBHFUX65013"",""XP_002421177.1"")"
flocculin [Candida albicans SC5314],Candida albicans SC5314,368,368,100%,1e-113,71.95,1890,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_718078.2?report=genbank&log$=prottop&blast_rank=8&RID=RBHFUX65013"",""XP_718078.2"")"
"agglutinin-like protein, putative [Candida dubliniensis CD36]",Candida dubliniensis CD36,364,364,100%,3e-112,70.73,1913,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_002421134.1?report=genbank&log$=prottop&blast_rank=9&RID=RBHFUX65013"",""XP_002421134.1"")"
Als6p [Candida albicans SC5314],Candida albicans SC5314,336,336,100%,3e-103,65.73,1366,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_716079.2?report=genbank&log$=prottop&blast_rank=10&RID=RBHFUX65013"",""XP_716079.2"")"
"agglutinin-like protein, putative [Candida dubliniensis CD36]",Candida dubliniensis CD36,335,335,100%,3e-102,64.92,1680,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_002419531.1?report=genbank&log$=prottop&blast_rank=11&RID=RBHFUX65013"",""XP_002419531.1"")"
"agglutinin-like protein, putative [Candida dubliniensis CD36]",Candida dubliniensis CD36,332,332,100%,7e-101,63.82,1989,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_002421168.1?report=genbank&log$=prottop&blast_rank=12&RID=RBHFUX65013"",""XP_002421168.1"")"
Als4p [Candida albicans SC5314],Candida albicans SC5314,323,323,100%,1e-97,63.01,2100,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_710425.2?report=genbank&log$=prottop&blast_rank=13&RID=RBHFUX65013"",""XP_710425.2"")"
conserved hypothetical protein [Candida tropicalis MYA-3404],Candida tropicalis MYA-3404,294,294,99%,2e-91,55.92,738,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_002546246.1?report=genbank&log$=prottop&blast_rank=14&RID=RBHFUX65013"",""XP_002546246.1"")"
conserved hypothetical protein [Candida tropicalis MYA-3404],Candida tropicalis MYA-3404,285,285,99%,2e-90,57.55,518,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_002549494.1?report=genbank&log$=prottop&blast_rank=15&RID=RBHFUX65013"",""XP_002549494.1"")"
conserved hypothetical protein [Candida tropicalis MYA-3404],Candida tropicalis MYA-3404,277,277,100%,4e-86,52.85,619,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_002549574.1?report=genbank&log$=prottop&blast_rank=16&RID=RBHFUX65013"",""XP_002549574.1"")"
conserved hypothetical protein [Candida tropicalis MYA-3404],Candida tropicalis MYA-3404,281,281,99%,5e-85,56.33,963,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_002549489.1?report=genbank&log$=prottop&blast_rank=17&RID=RBHFUX65013"",""XP_002549489.1"")"
hypothetical protein CTRG_02293 [Candida tropicalis MYA-3404],Candida tropicalis MYA-3404,282,282,99%,7e-85,56.73,1024,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_002547996.1?report=genbank&log$=prottop&blast_rank=18&RID=RBHFUX65013"",""XP_002547996.1"")"
conserved hypothetical protein [Candida tropicalis MYA-3404],Candida tropicalis MYA-3404,280,280,100%,2e-83,54.07,1237,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_002546260.1?report=genbank&log$=prottop&blast_rank=19&RID=RBHFUX65013"",""XP_002546260.1"")"
conserved hypothetical protein [Candida tropicalis MYA-3404],Candida tropicalis MYA-3404,253,253,93%,7e-78,52.61,530,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_002546256.1?report=genbank&log$=prottop&blast_rank=20&RID=RBHFUX65013"",""XP_002546256.1"")"
conserved hypothetical protein [Candida tropicalis MYA-3404],Candida tropicalis MYA-3404,266,266,100%,9e-78,50.41,2954,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_002546159.1?report=genbank&log$=prottop&blast_rank=21&RID=RBHFUX65013"",""XP_002546159.1"")"
conserved hypothetical protein [Candida tropicalis MYA-3404],Candida tropicalis MYA-3404,253,253,99%,2e-77,52.65,560,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_002549500.1?report=genbank&log$=prottop&blast_rank=22&RID=RBHFUX65013"",""XP_002549500.1"")"
predicted protein [Candida tropicalis MYA-3404],Candida tropicalis MYA-3404,248,248,99%,7e-77,51.84,412,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_002547931.1?report=genbank&log$=prottop&blast_rank=23&RID=RBHFUX65013"",""XP_002547931.1"")"
Agglutinin-like protein 1 precursor [Scheffersomyces stipitis CBS 6054],Scheffersomyces stipitis CBS 6054,247,247,99%,5e-76,51.57,472,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_001382423.2?report=genbank&log$=prottop&blast_rank=24&RID=RBHFUX65013"",""XP_001382423.2"")"
