# 2021-04-25 16:54 HB
name	id	species	strain	length
XP_462630.1_Dhansenii	XP_462630.1	Dhansenii	CBS767	775
XP_002770057.1_Dhansenii	XP_002770057.1	Dhansenii	CBS767	1597
XP_025344416.1_Chaemuloni	XP_025344416.1	Chaemuloni	B11899	2672
XP_025344601.1_Chaemuloni	XP_025344601.1	Chaemuloni	B11899	1320
XP_025342839.1_Chaemuloni	XP_025342839.1	Chaemuloni	B11899	1221
XP_025341971.1_Chaemuloni	XP_025341971.1	Chaemuloni	B11899	729
XP_025343300.1_Chaemuloni	XP_025343300.1	Chaemuloni	B11899	2259
XP_025343289.1_Chaemuloni	XP_025343289.1	Chaemuloni	B11899	1165
XP_025341988.1_Chaemuloni	XP_025341988.1	Chaemuloni	B11899	962
XP_025341634.1_Chaemuloni	XP_025341634.1	Chaemuloni	B11899	817
XP_025344020.1_Chaemuloni	XP_025344020.1	Chaemuloni	B11899	745
XP_025344415.1_Chaemuloni	XP_025344415.1	Chaemuloni	B11899	1650
XP_025344412.1_Chaemuloni	XP_025344412.1	Chaemuloni	B11899	2109
XP_024716365.1_Cpseudohaemulonis	XP_024716365.1	Cpseudohaemulonis	B12108	2268
XP_024713121.1_Cpseudohaemulonis	XP_024713121.1	Cpseudohaemulonis	B12108	3335
XP_024713119.1_Cpseudohaemulonis	XP_024713119.1	Cpseudohaemulonis	B12108	765
XP_024712323.1_Cpseudohaemulonis	XP_024712323.1	Cpseudohaemulonis	B12108	596
XP_024711259.1_Cpseudohaemulonis	XP_024711259.1	Cpseudohaemulonis	B12108	703
XP_024711351.1_Cpseudohaemulonis	XP_024711351.1	Cpseudohaemulonis	B12108	1534
XP_024712318.1_Cpseudohaemulonis	XP_024712318.1	Cpseudohaemulonis	B12108	3575
XP_024716363.1_Cpseudohaemulonis	XP_024716363.1	Cpseudohaemulonis	B12108	1131
XP_024711350.1_Cpseudohaemulonis	XP_024711350.1	Cpseudohaemulonis	B12108	804
XP_024711300.1_Cpseudohaemulonis	XP_024711300.1	Cpseudohaemulonis	B12108	899
XP_024713725.1_Cpseudohaemulonis	XP_024713725.1	Cpseudohaemulonis	B12108	856
XP_024713752.1_Cpseudohaemulonis	XP_024713752.1	Cpseudohaemulonis	B12108	788
KND98529.2_B6684_Cauris	KND98529.2	Cauris	B6684	717
KND98979.2_B6684_Cauris	KND98979.2	Cauris	B6684	664
KND99597.2_B6684_Cauris	KND99597.2	Cauris	B6684	1375
PIS49865.1_B8441_Cauris	PIS49865.1	Cauris	B8441	1720
PIS50296.1_B8441_Cauris	PIS50296.1	Cauris	B8441	2946
PIS50297.1_B8441_Cauris	PIS50297.1	Cauris	B8441	664
PIS50623.1_B8441_Cauris	PIS50623.1	Cauris	B8441	717
PIS52481.1_B8441_Cauris	PIS52481.1	Cauris	B8441	1247
PIS52483.1_B8441_Cauris	PIS52483.1	Cauris	B8441	760
PIS55432.1_B8441_Cauris	PIS55432.1	Cauris	B8441	1375
PIS56617.1_B8441_Cauris	PIS56617.1	Cauris	B8441	858
PSK74847.1_B11243_Cauris	PSK74847.1	Cauris	B11243	1456
PSK75908.1_B11243_Cauris	PSK75908.1	Cauris	B11243	856
PSK76051.1_B11243_Cauris	PSK76051.1	Cauris	B11243	1121
PSK76857.1_B11243_Cauris	PSK76857.1	Cauris	B11243	3010
PSK76858.1_B11243_Cauris	PSK76858.1	Cauris	B11243	664
PSK79346.1_B11243_Cauris	PSK79346.1	Cauris	B11243	1247
PSK79348.1_B11243_Cauris	PSK79348.1	Cauris	B11243	722
PSK79720.1_B11243_Cauris	PSK79720.1	Cauris	B11243	717
QEO22143.1_B11220_Cauris	QEO22143.1	Cauris	B11220	805
QEO24213.1_B11220_Cauris	QEO24213.1	Cauris	B11220	666
QEO24533.1_B11220_Cauris	QEO24533.1	Cauris	B11220	718
XP_028887965.1_B11221_Cauris	XP_028887965.1	Cauris	B11221	787
XP_028888611.1_B11221_Cauris	XP_028888611.1	Cauris	B11221	1704
XP_028889033.1_B11221_Cauris	XP_028889033.1	Cauris	B11221	3052
XP_028889034.1_B11221_Cauris	XP_028889034.1	Cauris	B11221	662
XP_028889361.1_B11221_Cauris	XP_028889361.1	Cauris	B11221	717
XP_028892087.1_B11221_Cauris	XP_028892087.1	Cauris	B11221	833
XP_028892406.1_B11221_Cauris	XP_028892406.1	Cauris	B11221	1375
XP_025344407.1_Chaemuloni	XP_025344407.1	Chaemuloni	B11899	4416
