ID	length	Ser	Thr
XP_028887926.1	636	63	31
XP_028887927.1	676	68	34
XP_028887928.1	676	68	34
XP_028887929.1	414	30	23
XP_028887930.1	91	17	4
XP_028887931.1	131	7	4
XP_028887932.1	621	56	26
XP_028887933.1	224	14	12
XP_028887934.1	373	23	27
XP_028887935.1	160	18	16
XP_028887936.1	165	17	13
XP_028887937.1	327	19	26
XP_028887938.1	655	56	29
XP_028887939.1	242	14	10
XP_028887940.1	197	51	9
XP_028887941.1	272	21	17
XP_028887942.1	296	17	9
XP_028887943.1	116	15	6
XP_028887944.1	116	15	6
XP_028887945.1	116	15	6
XP_028887946.1	110	16	4
XP_028887947.1	116	15	6
XP_028887948.1	116	15	6
XP_028887949.1	115	12	7
XP_028887950.1	110	18	3
XP_028887951.1	116	15	6
XP_028887952.1	116	15	6
XP_028887953.1	116	15	6
XP_028887954.1	116	15	6
XP_028887955.1	110	18	3
XP_028887956.1	116	15	6
XP_028887957.1	110	17	2
XP_028887958.1	116	15	6
XP_028887959.1	86	11	3
XP_028887960.1	116	15	6
XP_028887961.1	116	15	6
XP_028887962.1	116	15	6
XP_028887963.1	116	15	6
XP_028887964.1	507	24	31
XP_028887965.1	787	128	61
XP_028887966.1	286	18	13
XP_028887967.1	100	10	7
XP_028887968.1	123	11	6
XP_028887969.1	116	15	6
XP_028887970.1	116	15	6
XP_028887971.1	381	30	24
XP_028887972.1	300	19	16
XP_028887973.1	115	9	6
XP_028887974.1	301	19	16
XP_028887975.1	101	12	5
XP_028887976.1	187	21	14
XP_028887977.1	335	33	17
XP_028887978.1	363	22	19
XP_028887979.1	232	15	16
XP_028887980.1	167	15	6
XP_028887981.1	193	17	10
XP_028887982.1	393	27	24
XP_028887983.1	255	26	9
XP_028887984.1	137	7	5
XP_028887985.1	249	13	14
XP_028887986.1	188	21	7
XP_028887987.1	117	7	7
XP_028887988.1	585	52	23
XP_028887989.1	852	77	50
XP_028887990.1	436	16	23
XP_028887991.1	860	96	51
XP_028887992.1	264	36	20
XP_028887993.1	592	56	26
XP_028887994.1	277	17	16
XP_028887995.1	771	90	33
XP_028887996.1	2408	165	130
XP_028887997.1	761	83	40
XP_028887998.1	571	41	27
XP_028887999.1	579	36	28
XP_028888000.1	378	26	15
XP_028888001.1	134	7	7
XP_028888002.1	1492	148	66
XP_028888003.1	785	44	48
XP_028888004.1	295	23	14
XP_028888005.1	374	24	12
XP_028888006.1	708	49	43
XP_028888007.1	966	80	48
XP_028888008.1	212	18	11
XP_028888009.1	280	30	15
XP_028888010.1	155	18	7
XP_028888011.1	355	27	16
XP_028888012.1	119	6	2
XP_028888013.1	269	12	18
XP_028888014.1	747	107	34
XP_028888015.1	383	35	23
XP_028888016.1	944	77	57
XP_028888017.1	270	22	15
XP_028888018.1	616	32	31
XP_028888019.1	746	52	45
XP_028888020.1	474	40	33
XP_028888021.1	161	15	3
XP_028888022.1	227	18	12
XP_028888023.1	1530	144	79
XP_028888024.1	672	65	29
XP_028888025.1	233	17	11
XP_028888026.1	679	51	36
XP_028888027.1	312	27	18
XP_028888028.1	329	53	30
XP_028888029.1	303	22	15
XP_028888030.1	326	32	15
XP_028888031.1	218	11	12
XP_028888032.1	562	53	28
XP_028888033.1	194	19	10
XP_028888034.1	499	56	40
XP_028888035.1	240	22	12
XP_028888036.1	721	82	43
XP_028888037.1	465	31	24
XP_028888038.1	561	43	27
XP_028888039.1	253	18	13
XP_028888040.1	988	120	51
XP_028888041.1	204	8	8
XP_028888042.1	763	83	48
XP_028888043.1	204	18	11
XP_028888044.1	256	16	14
XP_028888045.1	1440	119	76
XP_028888046.1	165	12	12
XP_028888047.1	426	17	19
XP_028888048.1	572	42	44
XP_028888049.1	392	37	22
XP_028888050.1	299	15	12
XP_028888051.1	758	112	37
XP_028888052.1	425	28	22
XP_028888053.1	327	18	11
XP_028888054.1	1304	87	77
XP_028888055.1	1208	97	60
XP_028888056.1	319	37	14
XP_028888057.1	813	83	51
XP_028888058.1	210	60	1
XP_028888059.1	659	83	40
XP_028888060.1	232	17	13
XP_028888061.1	532	36	23
XP_028888062.1	286	19	8
XP_028888063.1	300	27	10
XP_028888064.1	456	32	13
XP_028888065.1	274	25	15
XP_028888066.1	307	27	21
XP_028888067.1	294	34	15
XP_028888068.1	346	16	21
XP_028888069.1	278	24	17
XP_028888070.1	105	5	12
XP_028888071.1	1239	188	73
XP_028888072.1	338	52	23
XP_028888073.1	565	51	26
XP_028888074.1	179	26	6
XP_028888075.1	194	10	11
XP_028888076.1	249	18	14
