# Assembly name:  ASM107731v1
# Organism name:  [Candida] bracarensis CBS 10154 (budding yeasts)
# Infraspecific name:  strain=CBS 10154
# Taxid:          1279114
# BioSample:      SAMEA3146302
# BioProject:     PRJEB145
# Submitter:      LabRI
# Date:           2013-08-29
# Assembly type:  haploid
# Release type:   major
# Assembly level: Contig
# Genome representation: full
# WGS project:    CAPU01
# Relation to type material: assembly from type material
# RefSeq category: Representative Genome
# GenBank assembly accession: GCA_001077315.1
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_001077325.1		Primary Assembly
#
# Ordered by chromosome/plasmid; the chromosomes/plasmids are followed by
# unlocalized scaffolds.
# Unplaced scaffolds are listed at the end.
# RefSeq is equal or derived from GenBank object.
#
# Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit	Sequence-Length	UCSC-style-name
CAPU01000001.1	unplaced-scaffold	na	na	CAPU01000001.1	<>	na	Primary Assembly	8691	na
CAPU01000002.1	unplaced-scaffold	na	na	CAPU01000002.1	<>	na	Primary Assembly	5108	na
CAPU01000003.1	unplaced-scaffold	na	na	CAPU01000003.1	<>	na	Primary Assembly	66587	na
CAPU01000004.1	unplaced-scaffold	na	na	CAPU01000004.1	<>	na	Primary Assembly	15029	na
CAPU01000005.1	unplaced-scaffold	na	na	CAPU01000005.1	<>	na	Primary Assembly	166604	na
CAPU01000006.1	unplaced-scaffold	na	na	CAPU01000006.1	<>	na	Primary Assembly	147382	na
CAPU01000007.1	unplaced-scaffold	na	na	CAPU01000007.1	<>	na	Primary Assembly	41332	na
CAPU01000008.1	unplaced-scaffold	na	na	CAPU01000008.1	<>	na	Primary Assembly	12074	na
CAPU01000009.1	unplaced-scaffold	na	na	CAPU01000009.1	<>	na	Primary Assembly	43490	na
CAPU01000010.1	unplaced-scaffold	na	na	CAPU01000010.1	<>	na	Primary Assembly	3357	na
CAPU01000011.1	unplaced-scaffold	na	na	CAPU01000011.1	<>	na	Primary Assembly	2252	na
CAPU01000012.1	unplaced-scaffold	na	na	CAPU01000012.1	<>	na	Primary Assembly	138523	na
CAPU01000013.1	unplaced-scaffold	na	na	CAPU01000013.1	<>	na	Primary Assembly	218710	na
CAPU01000014.1	unplaced-scaffold	na	na	CAPU01000014.1	<>	na	Primary Assembly	2773	na
CAPU01000015.1	unplaced-scaffold	na	na	CAPU01000015.1	<>	na	Primary Assembly	12120	na
CAPU01000016.1	unplaced-scaffold	na	na	CAPU01000016.1	<>	na	Primary Assembly	62183	na
CAPU01000017.1	unplaced-scaffold	na	na	CAPU01000017.1	<>	na	Primary Assembly	78036	na
CAPU01000018.1	unplaced-scaffold	na	na	CAPU01000018.1	<>	na	Primary Assembly	12368	na
CAPU01000019.1	unplaced-scaffold	na	na	CAPU01000019.1	<>	na	Primary Assembly	78385	na
CAPU01000020.1	unplaced-scaffold	na	na	CAPU01000020.1	<>	na	Primary Assembly	2780	na
CAPU01000021.1	unplaced-scaffold	na	na	CAPU01000021.1	<>	na	Primary Assembly	83936	na
CAPU01000022.1	unplaced-scaffold	na	na	CAPU01000022.1	<>	na	Primary Assembly	40597	na
CAPU01000023.1	unplaced-scaffold	na	na	CAPU01000023.1	<>	na	Primary Assembly	136759	na
CAPU01000024.1	unplaced-scaffold	na	na	CAPU01000024.1	<>	na	Primary Assembly	51914	na
CAPU01000025.1	unplaced-scaffold	na	na	CAPU01000025.1	<>	na	Primary Assembly	95104	na
CAPU01000026.1	unplaced-scaffold	na	na	CAPU01000026.1	<>	na	Primary Assembly	7383	na
CAPU01000027.1	unplaced-scaffold	na	na	CAPU01000027.1	<>	na	Primary Assembly	136984	na
CAPU01000028.1	unplaced-scaffold	na	na	CAPU01000028.1	<>	na	Primary Assembly	19394	na
CAPU01000029.1	unplaced-scaffold	na	na	CAPU01000029.1	<>	na	Primary Assembly	33735	na
CAPU01000030.1	unplaced-scaffold	na	na	CAPU01000030.1	<>	na	Primary Assembly	10498	na
CAPU01000031.1	unplaced-scaffold	na	na	CAPU01000031.1	<>	na	Primary Assembly	6154	na
CAPU01000032.1	unplaced-scaffold	na	na	CAPU01000032.1	<>	na	Primary Assembly	49799	na
CAPU01000033.1	unplaced-scaffold	na	na	CAPU01000033.1	<>	na	Primary Assembly	12258	na
CAPU01000034.1	unplaced-scaffold	na	na	CAPU01000034.1	<>	na	Primary Assembly	64546	na
CAPU01000035.1	unplaced-scaffold	na	na	CAPU01000035.1	<>	na	Primary Assembly	26458	na
CAPU01000036.1	unplaced-scaffold	na	na	CAPU01000036.1	<>	na	Primary Assembly	81885	na
CAPU01000037.1	unplaced-scaffold	na	na	CAPU01000037.1	<>	na	Primary Assembly	20607	na
CAPU01000038.1	unplaced-scaffold	na	na	CAPU01000038.1	<>	na	Primary Assembly	81301	na
CAPU01000039.1	unplaced-scaffold	na	na	CAPU01000039.1	<>	na	Primary Assembly	28736	na
CAPU01000040.1	unplaced-scaffold	na	na	CAPU01000040.1	<>	na	Primary Assembly	20047	na
CAPU01000041.1	unplaced-scaffold	na	na	CAPU01000041.1	<>	na	Primary Assembly	162206	na
CAPU01000042.1	unplaced-scaffold	na	na	CAPU01000042.1	<>	na	Primary Assembly	33969	na
CAPU01000043.1	unplaced-scaffold	na	na	CAPU01000043.1	<>	na	Primary Assembly	71136	na
CAPU01000044.1	unplaced-scaffold	na	na	CAPU01000044.1	<>	na	Primary Assembly	243064	na
CAPU01000045.1	unplaced-scaffold	na	na	CAPU01000045.1	<>	na	Primary Assembly	234510	na
CAPU01000046.1	unplaced-scaffold	na	na	CAPU01000046.1	<>	na	Primary Assembly	78023	na
CAPU01000047.1	unplaced-scaffold	na	na	CAPU01000047.1	<>	na	Primary Assembly	141302	na
CAPU01000048.1	unplaced-scaffold	na	na	CAPU01000048.1	<>	na	Primary Assembly	5646	na
CAPU01000049.1	unplaced-scaffold	na	na	CAPU01000049.1	<>	na	Primary Assembly	110896	na
CAPU01000050.1	unplaced-scaffold	na	na	CAPU01000050.1	<>	na	Primary Assembly	10147	na
CAPU01000051.1	unplaced-scaffold	na	na	CAPU01000051.1	<>	na	Primary Assembly	2975	na
CAPU01000052.1	unplaced-scaffold	na	na	CAPU01000052.1	<>	na	Primary Assembly	2759	na
CAPU01000053.1	unplaced-scaffold	na	na	CAPU01000053.1	<>	na	Primary Assembly	928	na
CAPU01000054.1	unplaced-scaffold	na	na	CAPU01000054.1	<>	na	Primary Assembly	2402	na
CAPU01000055.1	unplaced-scaffold	na	na	CAPU01000055.1	<>	na	Primary Assembly	118514	na
CAPU01000056.1	unplaced-scaffold	na	na	CAPU01000056.1	<>	na	Primary Assembly	219497	na
