#title1	title2	len_seq1	len_seq2	len_lcs_for	%_min_seq_len	len_lcs_rev	%_min_seq_len
XP_028889033	XP_028889033	316	316	316	100.0	10	3.165
YIL169C_CSS1	XP_028889033	306	316	11	3.595	0	0.0
YOL155C_HPF1	XP_028889033	351	316	13	4.114	0	0.0
CAGL0I07293g	XP_028889033	322	316	13	4.114	7	2.215
CAGL0E06600g	XP_028889033	328	316	13	4.114	7	2.215
YIL169C_CSS1	YIL169C_CSS1	306	306	306	100.0	11	3.595
YOL155C_HPF1	YIL169C_CSS1	351	306	151	49.346	12	3.922
CAGL0I07293g	YIL169C_CSS1	322	306	10	3.268	0	0.0
CAGL0E06600g	YIL169C_CSS1	328	306	11	3.595	7	2.288
YOL155C_HPF1	YOL155C_HPF1	351	351	351	100.0	12	3.419
CAGL0I07293g	YOL155C_HPF1	322	351	9	2.795	8	2.484
CAGL0E06600g	YOL155C_HPF1	328	351	9	2.744	9	2.744
CAGL0I07293g	CAGL0I07293g	322	322	322	100.0	9	2.795
CAGL0E06600g	CAGL0I07293g	328	322	53	16.46	7	2.174
CAGL0E06600g	CAGL0E06600g	328	328	328	100.0	0	0.0
