ID	length	Ser	Thr
NP_001018029.1	66	7	2
NP_001018030.1	360	27	20
NP_001018031.2	113	11	9
NP_001018032.1	52	4	2
NP_001018033.3	92	12	6
NP_001027023.1	163	28	12
NP_001027534.1	73	6	8
NP_001032571.3	67	9	7
NP_001032572.1	78	11	3
NP_001032573.1	79	2	13
NP_001032574.1	85	8	4
NP_001032575.1	66	7	2
NP_001032576.1	89	4	4
NP_001032577.1	80	8	9
NP_001032578.1	80	5	3
NP_001032579.1	75	7	3
NP_001032580.1	73	9	2
NP_001032581.1	75	7	5
NP_001032582.1	62	6	8
NP_001035220.1	162	15	7
NP_001073292.1	160	16	5
NP_001091638.1	72	4	8
NP_001106172.4	154	13	7
NP_001106949.1	85	6	4
NP_001254791.1	84	6	9
NP_001257667.1	112	12	4
NP_001257668.1	66	2	0
NP_001257669.1	68	0	2
NP_001257670.1	82	6	5
NP_001257671.1	107	7	2
NP_001257672.1	110	4	9
NP_001257673.1	128	18	10
NP_001257674.1	232	20	20
NP_001257675.1	101	8	8
NP_001257676.1	109	26	5
NP_001257677.1	118	10	6
NP_001257678.1	117	14	4
NP_001257679.1	46	2	3
NP_001257680.1	105	4	6
NP_001257681.1	100	9	7
NP_001257682.1	28	0	2
NP_001257683.1	117	18	8
NP_001257684.1	106	10	5
NP_001257685.1	187	30	9
NP_001257686.1	103	8	5
NP_001257687.1	108	12	7
NP_001257688.1	130	15	5
NP_001257689.1	189	8	14
NP_001257690.1	108	7	11
NP_001268465.1	1749	181	137
NP_001288277.1	126	10	11
NP_001291943.1	28	2	0
NP_001291944.1	1802	138	121
NP_001297596.1	110	4	8
NP_001333723.1	102	15	3
NP_001333724.1	110	3	6
NP_001333725.1	100	7	4
NP_001335736.1	149	13	9
NP_001335737.1	133	11	6
NP_001335738.1	130	10	6
NP_001335739.1	182	17	7
NP_001335740.1	101	8	10
NP_001335741.1	111	11	5
NP_001335742.1	103	10	3
NP_001335743.1	163	9	16
NP_001335744.1	103	11	1
NP_001335745.1	104	9	5
NP_001335746.1	105	9	2
NP_001335747.1	123	13	3
NP_001335748.1	104	9	4
NP_001335749.1	157	12	10
NP_001335750.1	114	20	0
NP_001335751.1	136	10	10
NP_001335752.1	117	6	10
NP_001335753.1	117	12	6
NP_001335754.1	110	6	5
NP_001335755.1	104	13	1
NP_001335756.1	110	11	7
NP_001335757.1	133	19	9
NP_001335758.1	137	7	4
NP_001335759.1	137	16	7
NP_001335760.1	123	18	10
NP_001335761.1	105	15	7
NP_001335762.1	147	10	8
NP_001335763.1	109	15	7
NP_001335764.1	153	9	19
NP_001335765.1	101	8	2
NP_001335766.1	135	13	5
NP_001335767.1	126	10	3
NP_001335768.1	130	11	7
NP_001335769.1	145	24	11
NP_001335770.1	107	7	3
NP_001335771.1	239	15	15
NP_001335772.1	117	11	12
NP_001335773.1	164	14	10
NP_001335774.1	192	47	13
NP_001335775.1	101	13	5
NP_001335776.1	145	8	9
NP_001335777.1	121	8	5
NP_001335778.1	121	11	8
NP_001335779.1	125	15	3
NP_001335780.1	100	10	10
NP_001335781.1	103	12	4
NP_001335782.1	120	15	8
NP_001335783.1	111	5	12
NP_001335784.1	102	11	8
NP_001335785.1	113	10	8
NP_001335786.1	108	11	7
NP_001335787.1	104	13	7
NP_001335788.1	119	10	7
NP_001335789.1	101	12	1
NP_001335790.1	136	6	9
NP_001335791.1	104	8	2
NP_001335792.1	106	15	2
NP_001335793.1	113	8	3
NP_001335794.1	110	7	6
NP_001335795.1	139	9	2
NP_001335796.1	125	13	7
NP_001335797.1	107	12	5
NP_001335798.1	117	10	4
NP_001335799.1	108	11	8
NP_001335800.1	120	10	12
NP_001335801.1	125	5	6
NP_001335802.1	110	11	6
NP_001335803.1	126	15	6
NP_001335804.1	126	8	6
NP_001335805.1	118	7	8
NP_001335806.1	120	11	7
NP_001335807.1	124	5	7
NP_001335808.1	102	10	8
NP_001335809.1	102	8	10
NP_001335810.1	101	6	3
NP_001335811.1	113	8	4
NP_001335812.1	102	6	7
NP_001335813.1	113	6	3
NP_001335814.1	119	11	5
NP_001335815.1	111	11	7
NP_001335816.1	104	11	6
NP_001335817.1	104	4	2
NP_001335818.1	109	11	5
NP_001335819.1	108	10	1
NP_001335820.1	122	8	3
NP_001335821.1	102	13	1
NP_001335822.1	108	8	6
NP_001335823.1	134	7	9
NP_001335824.1	109	12	1
NP_001335825.1	151	16	10
NP_001335826.1	139	11	6
NP_001335827.1	109	10	11
NP_009305.1	534	43	31
NP_009306.1	630	43	34
NP_009307.2	556	40	33
NP_009308.2	415	29	24
NP_009309.1	854	63	40
NP_009310.1	834	45	61
NP_009311.2	354	15	19
NP_009312.1	48	3	2
