#title1	title2	len_seq1	len_seq2	len_lcs_for	%_min_seq_len	len_lcs_rev	%_min_seq_len
XP_028889033	XP_028889033	316	316	316	100.0	12	3.797
YIL169C_CSS1	XP_028889033	306	316	15	4.902	8	2.614
YOL155C_HPF1	XP_028889033	351	316	15	4.747	8	2.532
CAGL0I07293g	XP_028889033	322	316	15	4.747	9	2.848
CAGL0E06600g	XP_028889033	328	316	15	4.747	11	3.481
YIL169C_CSS1	YIL169C_CSS1	306	306	306	100.0	13	4.248
YOL155C_HPF1	YIL169C_CSS1	351	306	153	50.0	14	4.575
CAGL0I07293g	YIL169C_CSS1	322	306	12	3.922	0	0.0
CAGL0E06600g	YIL169C_CSS1	328	306	13	4.248	9	2.941
YOL155C_HPF1	YOL155C_HPF1	351	351	351	100.0	16	4.558
CAGL0I07293g	YOL155C_HPF1	322	351	11	3.416	10	3.106
CAGL0E06600g	YOL155C_HPF1	328	351	11	3.354	11	3.354
CAGL0I07293g	CAGL0I07293g	322	322	322	100.0	11	3.416
CAGL0E06600g	CAGL0I07293g	328	322	98	30.435	9	2.795
CAGL0E06600g	CAGL0E06600g	328	328	328	100.0	0	0.0
