id	cleaveSite
XP_028889033.1_Cauris	21
XP_028888611.1_Cauris	23
XP_025344416.1_Chaemuloni	19
XP_024713121.1_Cpseudohaemulonis	22
XP_025334498.1_Cduobushaemulonis	22
XP_025344407.1_Chaemuloni	22
XP_025335682.1_Cduobushaemulonis	32
XP_025344601.1_Chaemuloni	21
XP_025342839.1_Chaemuloni	22
XP_024713119.1_Cpseudohaemulonis	21
XP_025337653.1_Cduobushaemulonis	32
XP_025341971.1_Chaemuloni	21
XP_025334500.1_Cduobushaemulonis	21
XP_025343300.1_Chaemuloni	21
XP_028889034.1_Cauris	23
XP_028887965.1_Cauris	21
XP_024712323.1_Cpseudohaemulonis	32
XP_024711259.1_Cpseudohaemulonis	21
XP_025335995.1_Cduobushaemulonis	21
XP_024711351.1_Cpseudohaemulonis	22
XP_025338053.1_Cduobushaemulonis	22
XP_028892406.1_Cauris	20
XP_025337648.1_Cduobushaemulonis	21
XP_024712318.1_Cpseudohaemulonis	21
XP_025343289.1_Chaemuloni	22
XP_024716363.1_Cpseudohaemulonis	22
XP_024711350.1_Cpseudohaemulonis	22
XP_025341988.1_Chaemuloni	22
XP_462630.1_Dhansenii	23
XP_025336698.1_Cduobushaemulonis	21
XP_002770057.1_Dhansenii	22
XP_025341634.1_Chaemuloni	21
XP_028892087.1_Cauris	23
XP_025335681.1_Cduobushaemulonis	22
XP_024711300.1_Cpseudohaemulonis	21
XP_025344020.1_Chaemuloni	17
XP_028889361.1_Cauris	32
XP_025344415.1_Chaemuloni	22
XP_024713725.1_Cpseudohaemulonis	21
XP_025339494.1_Cduobushaemulonis	32
XP_025336343.1_Cduobushaemulonis	23
XP_024713752.1_Cpseudohaemulonis	23
XP_025344412.1_Chaemuloni	21
XP_001386379.2_Sstipitis	22
XP_002550900.1_Ctropicalis	27
XP_002547764.1_Ctropicalis	22
XP_714203.1_Calbicans	24
XP_711686.2_Calbicans	25
XP_001385882.2_Sstipitis	19
XP_002547617.1_Ctropicalis	16
XP_002547615.1_Ctropicalis	18
XP_718630.1_Calbicans	24
XP_717330.2_Calbicans	32
XP_001386404.2_Sstipitis	19
XP_714246.2_Calbicans	32
XP_002418802.1_Cdubliniensis	24
XP_002421924.1_Cdubliniensis	32
XP_002421951.1_Cdubliniensis	32
XP_002421505.1_Cdubliniensis	25
XP_002420471.1_Cdubliniensis	24
XP_002549927.1_Ctropicalis	28
XP_002421668.1_Cdubliniensis	24
XP_715137.2_Calbicans	32
XP_002421681.1_Cdubliniensis	24
XP_002420246.1_Cdubliniensis	32
XP_715535.1_Calbicans	32
XP_002546360.1_Ctropicalis	18
XP_717969.1_Calbicans	32
XP_714201.2_Calbicans	24
XP_002420375.1_Cdubliniensis	24
XP_002547620.1_Ctropicalis	19
XP_002545452.1_Ctropicalis	32
XP_002550128.1_Ctropicalis	30
XP_001385681.2_Sstipitis	31
XP_722183.2_Calbicans	24
XP_001523105.1_Lelongisporus	28
XP_002419003.1_Cdubliniensis	14
XP_003678549.1_Ncastellii	24
XP_717774.1_Calbicans	16
XP_002550387.1_Ctropicalis	27
XP_002547891.1_Ctropicalis	27
XP_002614829.1_Clusitaniae	32
XP_002419002.1_Cdubliniensis	26
XP_002547904.1_Ctropicalis	22
XP_002614815.1_Clusitaniae	15
XP_447567.2_Cglabrata	26
XP_002614120.1_Clusitaniae	14
XP_001383953.2_Sstipitis	17
XP_445977.1_Cglabrata	20
B9J08_004098_Cauris	30
CLUG_05233_Clusitaniae	29
CPAR2_600430_Cparapsilosis	16
CPAR2_806390_Cparapsilosis	23
CPAR2_806410_Cparapsilosis	23
CPAR2_806420_Cparapsilosis	25
NADE0s05e04136g_Ndelphensis	27
XP_452176.1_Klactis	16
CABR0s21e03234g_Nbracarensis	32
CABR0s31e03938g_Nbracarensis	32
CANI0s04e00110g_Nnivariensis	24
