# SignalP-5.0	Organism: Eukarya	Timestamp: 20210216051219
ID	Prediction	SP(Sec/SPI)	OTHER	CS Position
XP_024716365.1_Cpseudohaemulonis	OTHER	0.002131	0.997869	
XP_036665264.1_Cparapsilosis	SP(Sec/SPI)	0.878426	0.121574	CS pos: 19-20. VSG-LN. Pr: 0.6313
XP_002547616.1_Ctropicalis	OTHER	0.076159	0.923841	
XP_002545510.1_Ctropicalis	OTHER	0.044669	0.955331	
XP_002770240.1_Dhansenii	SP(Sec/SPI)	0.874920	0.125080	CS pos: 19-20. VSG-LT. Pr: 0.5546
XP_717775.2_Calbicans	SP(Sec/SPI)	0.992228	0.007772	CS pos: 19-20. VFA-SY. Pr: 0.9071
XP_002614115.1_Clusitaniae	SP(Sec/SPI)	0.887569	0.112431	CS pos: 20-21. VLG-LI. Pr: 0.3788
XP_028889033.1_Cauris	SP(Sec/SPI)	0.970808	0.029192	CS pos: 21-22. TWA-LT. Pr: 0.8180
XP_028888611.1_Cauris	SP(Sec/SPI)	0.915690	0.084310	CS pos: 21-22. VWA-LT. Pr: 0.7199
XP_025344416.1_Chaemuloni	SP(Sec/SPI)	0.954607	0.045393	CS pos: 19-20. VWA-LT. Pr: 0.7920
XP_024713121.1_Cpseudohaemulonis	SP(Sec/SPI)	0.764158	0.235842	CS pos: 21-22. VWA-LT. Pr: 0.5011
XP_025334498.1_Cduobushaemulonis	SP(Sec/SPI)	0.861474	0.138526	CS pos: 21-22. VWA-LT. Pr: 0.6861
XP_025344407.1_Chaemuloni	SP(Sec/SPI)	0.931852	0.068148	CS pos: 16-17. AQA-IV. Pr: 0.7275
XP_025335682.1_Cduobushaemulonis	SP(Sec/SPI)	0.968076	0.031924	CS pos: 20-21. AMA-LT. Pr: 0.7183
XP_025344601.1_Chaemuloni	OTHER	0.049657	0.950343	
XP_025342839.1_Chaemuloni	SP(Sec/SPI)	0.937120	0.062880	CS pos: 20-21. ALG-LT. Pr: 0.6800
XP_024713119.1_Cpseudohaemulonis	SP(Sec/SPI)	0.967721	0.032279	CS pos: 21-22. ALA-LT. Pr: 0.7354
XP_025337653.1_Cduobushaemulonis	SP(Sec/SPI)	0.941627	0.058373	CS pos: 21-22. VLA-LV. Pr: 0.8530
XP_025341971.1_Chaemuloni	SP(Sec/SPI)	0.789960	0.210040	CS pos: 21-22. ALA-LT. Pr: 0.6087
XP_025334500.1_Cduobushaemulonis	SP(Sec/SPI)	0.964105	0.035895	CS pos: 21-22. ALA-LT. Pr: 0.7098
XP_025343300.1_Chaemuloni	OTHER	0.005691	0.994309	
XP_028889034.1_Cauris	SP(Sec/SPI)	0.926031	0.073969	CS pos: 21-22. AWA-VT. Pr: 0.8651
XP_028887965.1_Cauris	SP(Sec/SPI)	0.989478	0.010522	CS pos: 19-20. ARS-LT. Pr: 0.9331
